	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
AGR2	22.0	37.0	1.0	16.0		0.015314017898560309	0.015314017898560309	
KCNK1	16.0	50.0	7.0	3.0	0.006771057862311996			0.009028077149749328
HSPC105	16.0	51.0	7.0	2.0	0.002559406792476432			0.005118813584952864
SOX4	16.0	53.0	7.0	0.0	0.00011213895740231863			0.00029903721973951634
MLF1	16.0	48.0	7.0	5.0	0.036576345355742015			0.04180153754941945
ZNF135	16.0	47.0	7.0	6.0	0.053329158432872024			0.053329158432872024
TRIP6	16.0	53.0	7.0	0.0	0.00011213895740231863			0.00029903721973951634
KRT7	14.0	52.0	9.0	1.0	4.657296089388969e-05			0.00029903721973951634
ZNF285A	15.0	49.0	8.0	4.0	0.005298452593138716			0.008477524149021944
