	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_057269	468.0	248.0	21.0	11.0	1.0		1.0	
NP_057336	410.0	221.0	24.0	4.0	0.024489141926515738		0.3346849396623817	
NP_057541	553.0	288.0	27.0	11.0	0.6007297639595244		0.9354035353111114	
NP_057572	372.0	209.0	33.0	11.0	0.18960196099463023		0.7228543348983075	
NP_059990	471.0	250.0	36.0	18.0	0.8832647663774554		0.9993297393616773	
NP_060130	402.0	201.0	28.0	6.0	0.06121554871215963		0.4892845152216605	
NP_060206	205.0	114.0	17.0	5.0	0.2545033403472652		0.7228543348983075	
NP_060414	391.0	218.0	35.0	14.0	0.35325146083464076		0.7995745200492808	
NP_060551	278.0	151.0	22.0	8.0	0.4290254921757065		0.8432996078429719	
NP_060644	1057.0	548.0	45.0	18.0	0.4166813986094654		0.8401936398190859	
NP_060783	629.0	332.0	31.0	15.0	0.8744850954136176		0.9993297393616773	
NP_060813	314.0	179.0	19.0	5.0	0.13314105798859543		0.6550540053038896	
NP_060873	621.0	301.0	27.0	9.0	0.370534533681374		0.7995745200492808	
NP_061322	898.0	467.0	51.0	20.0	0.3680313226746075		0.7995745200492808	
NP_062536	1876.0	998.0	58.0	27.0	0.6440976329680342		0.9780741833959039	
NP_062817	864.0	446.0	30.0	15.0	1.0		1.0	
NP_065770	997.0	516.0	43.0	14.0	0.15435947175500792		0.678079108066642	
NP_065821	717.0	351.0	18.0	5.0	0.36879536531060314		0.7995745200492808	
NP_065910	1339.0	742.0	50.0	19.0	0.20047262105433394		0.7228543348983075	
NP_065939	1571.0	841.0	62.0	31.0	0.8248247676724599		0.9993297393616773	
NP_065952	952.0	492.0	51.0	17.0	0.14822280538367194		0.678079108066642	
NP_066997	573.0	308.0	33.0	6.0	0.0144964737598551		0.2814916152145183	
NP_067652	264.0	139.0	18.0	5.0	0.2607809094052992		0.7228543348983075	
NP_071440	310.0	157.0	25.0	5.0	0.06935319334946677		0.4892845152216605	
NP_073589	164.0	94.0	18.0	4.0	0.10448511931403223		0.611984270267903	
NP_073744	575.0	285.0	21.0	4.0	0.08412339498594754		0.5348176502490415	
NP_076916	596.0	309.0	31.0	12.0	0.5097083846395494		0.916177133078885	
NP_077003	521.0	285.0	30.0	12.0	0.4108171993190078		0.8401936398190859	
NP_078779	582.0	316.0	34.0	7.0	0.017885139607466242		0.2814916152145183	
NP_079524	954.0	523.0	31.0	13.0	0.5223261859666869		0.9178017267700356	
NP_110394	582.0	310.0	24.0	5.0	0.07128590918748101		0.4892845152216605	
NP_113584	1727.0	906.0	77.0	39.0	0.9205900517974839		1.0	
NP_114032	366.0	187.0	27.0	13.0	1.0		1.0	
NP_114129	444.0	244.0	31.0	12.0	0.41007456222499084		0.8401936398190859	
NP_115543	411.0	206.0	26.0	5.0	0.049710137622527274		0.4367390662550611	
NP_149072	737.0	400.0	29.0	15.0	1.0		1.0	
NP_150241	998.0	515.0	43.0	11.0	0.039735103743004596		0.4293614722068167	
NP_203754	3776.0	1948.0	120.0	54.0	0.46460997829565465		0.8658640504600836	
NP_444271	367.0	189.0	28.0	13.0	0.864914504782252		0.9993297393616773	
NP_476510	663.0	319.0	29.0	13.0	1.0		1.0	
NP_597709	341.0	196.0	19.0	5.0	0.13249222764446458		0.6550540053038896	
NP_620137	696.0	355.0	44.0	5.0	0.00027612199846517376		0.016981502905608185	
NP_689969	643.0	367.0	27.0	14.0	0.8690600908260013		0.9993297393616773	
NP_722549	487.0	259.0	32.0	15.0	0.7538529256504446		0.9993297393616773	
NP_733751	859.0	497.0	51.0	21.0	0.21084850198469013		0.7228543348983075	
NP_898868	994.0	522.0	42.0	19.0	0.6805657209433085		0.9993297393616773	
NP_942595	629.0	316.0	26.0	12.0	0.8627497895069354		0.9993297393616773	
NP_997006	836.0	436.0	26.0	8.0	0.2703357675229443		0.7228543348983075	
