	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_079031	153.0	840.0	6.0	21.0	0.29351501695900617			0.381303496351579
NP_079066	74.0	392.0	7.0	6.0	0.002245437290696939			0.012222000443033973
NP_079094	21.0	148.0	4.0	5.0	0.023725549886442182			0.06329184738412955
NP_079191	52.0	322.0	5.0	8.0	0.029359163385562933			0.07255425434363254
NP_079366	85.0	432.0	4.0	20.0	1.0			1.0
NP_079461	187.0	1039.0	11.0	54.0	0.7236230748302444			0.7682911658691484
NP_079470	25.0	153.0	7.0	11.0	0.013757719860639804			0.04515892778683295
NP_085133	98.0	486.0	6.0	9.0	0.031124693249229878			0.07604328464300482
NP_109590	173.0	910.0	13.0	36.0	0.07274691489059806			0.12930537687806815
NP_110429	119.0	610.0	9.0	23.0	0.09086778997995977			0.1538312979975697
NP_110435	72.0	404.0	5.0	9.0	0.052965245886211085			0.10635169537527359
NP_112236	40.0	250.0	4.0	12.0	0.2618879284017181			0.3464978745007347
NP_112533	136.0	761.0	9.0	44.0	0.6951521959961151			0.7454250480756346
NP_113584	424.0	2245.0	16.0	64.0	0.3515984332992152			0.4445118534587998
NP_113619	61.0	348.0	5.0	9.0	0.051121917826979106			0.1042309405477742
NP_115593	191.0	1067.0	18.0	25.0	3.620921215768018e-05			0.00046766296954016905
NP_115599	54.0	309.0	4.0	9.0	0.1240644441656606			0.19296095239634517
NP_115731	40.0	223.0	4.0	7.0	0.08131868935244392			0.14099611460302774
NP_115751	79.0	427.0	9.0	21.0	0.07021845834991572			0.1292841929281956
NP_115766	39.0	211.0	8.0	13.0	0.015448449279603677			0.04811994902833627
NP_115820	87.0	519.0	11.0	25.0	0.015102763254051814			0.047751383817957946
NP_115835	61.0	328.0	12.0	11.0	0.00010904610385483436			0.0011282498619802623
NP_115941	103.0	614.0	13.0	22.0	0.001068572858417287			0.006757151898815197
NP_116189	53.0	286.0	6.0	12.0	0.09357711948773856			0.1565687213218972
NP_149062	60.0	304.0	4.0	18.0	0.7711995078428555			0.8068510665995812
NP_149072	174.0	977.0	10.0	20.0	0.017309664084688224			0.05133210728562715
NP_203747	77.0	425.0	7.0	18.0	0.09709158660500578			0.16147340007186922
NP_203752	150.0	867.0	15.0	25.0	0.0004857926569209587			0.00366475162238618
NP_203754	852.0	4811.0	90.0	145.0	2.3334783505346974e-17			2.0067913814598397e-15
NP_277052	229.0	1184.0	18.0	48.0	0.02673704548793122			0.06925861180608689
NP_361013	209.0	1139.0	14.0	29.0	0.0054268121558221			0.024898967722120396
NP_434700	33.0	254.0	7.0	5.0	0.0002218335048854513			0.0019077681420148812
NP_443111	50.0	277.0	7.0	2.0	7.942578818005126e-05			0.0008757202286518472
NP_490597	125.0	631.0	5.0	16.0	0.3741896067862968			0.4630755949597452
NP_510880	236.0	1347.0	30.0	46.0	3.910636566839657e-07			8.407868618705262e-06
NP_536739	150.0	800.0	23.0	54.0	0.003783259984169093			0.018698871186123105
NP_542194	118.0	657.0	12.0	20.0	0.0023244769766190857			0.012494063749327586
NP_542417	401.0	1991.0	11.0	34.0	0.1644710083775942			0.23892747838636993
NP_543023	135.0	761.0	5.0	19.0	0.3939043103826667			0.48118992461518945
NP_573441	93.0	508.0	15.0	12.0	3.974708415317888e-06			6.330091179950709e-05
NP_599150	27.0	163.0	4.0	9.0	0.11723322334681757			0.18475341179772398
NP_612206	128.0	737.0	7.0	20.0	0.16534060872157874			0.23938202609521503
NP_612429	396.0	2284.0	21.0	70.0	0.036230031558087655			0.08375759983858974
NP_619646	68.0	398.0	6.0	17.0	0.13844022343069387			0.20789712743444602
NP_620143	9.0	66.0	4.0	5.0	0.028962505095861547			0.07198772942902003
NP_620305	246.0	1392.0	18.0	46.0	0.007694572642051286			0.030922114355907034
NP_653171	65.0	343.0	7.0	20.0	0.18280243455627845			0.25687923810195995
NP_663304	75.0	426.0	5.0	12.0	0.16030596258866261			0.23366631834957602
NP_680780	182.0	930.0	6.0	21.0	0.42947416431343693			0.5155775373926449
NP_689545	94.0	525.0	11.0	13.0	0.0005166082163236863			0.00383002643136526
NP_690000	51.0	308.0	4.0	11.0	0.251975464115639			0.336488973819021
NP_690049	57.0	301.0	5.0	13.0	0.19370214708737332			0.2678196888989406
NP_695012	116.0	651.0	10.0	14.0	0.001995195682953029			0.011425365664247459
NP_699165	77.0	468.0	10.0	13.0	0.0008978328001171971			0.005939509293082996
NP_722560	103.0	579.0	6.0	23.0	0.4278248974376259			0.5153072994346755
NP_733793	164.0	892.0	8.0	37.0	0.6750969770275105			0.7293761309593706
NP_742068	35.0	235.0	6.0	9.0	0.011433763376570401			0.03964934074133284
NP_775837	62.0	289.0	4.0	14.0	0.5416197611732358			0.6115200645625057
NP_775866	6.0	49.0	4.0	3.0	0.010138737319766607			0.036635773508400346
NP_777567	49.0	252.0	4.0	3.0	0.018450400587122946			0.05324612249975078
NP_803187	56.0	308.0	9.0	19.0	0.03228816149546412			0.07670668200579873
NP_821133	87.0	509.0	9.0	33.0	0.26131580228207985			0.3464978745007347
NP_835260	141.0	796.0	8.0	38.0	0.6731071266010138			0.7290580968222568
NP_872363	260.0	1519.0	35.0	39.0	8.623997924956626e-11			4.635398884664186e-09
NP_892118	73.0	452.0	10.0	14.0	0.001195126390853409			0.007447889102419796
NP_898868	239.0	1287.0	10.0	41.0	0.43561471819311476			0.5160174347742131
NP_919269	82.0	479.0	23.0	30.0	2.0291411980389e-06			3.635544646486362e-05
NP_919277	170.0	892.0	14.0	36.0	0.032179794709369144			0.07670668200579873
NP_937883	177.0	922.0	9.0	42.0	0.700702423855698			0.7495075678058462
NP_940890	316.0	1850.0	68.0	51.0	6.2598047012315045e-25			1.3458580107647734e-22
NP_940953	117.0	608.0	11.0	27.0	0.04627514227337361			0.0970649325734178
NP_942133	143.0	821.0	24.0	23.0	1.9767362824471732e-08			6.071404296087746e-07
NP_942135	7.0	53.0	4.0	3.0	0.011366989443621075			0.03964934074133284
NP_942595	153.0	789.0	7.0	34.0	0.8303345689530709			0.8521333285198579
NP_954976	30.0	188.0	4.0	1.0	0.002058696081670674			0.011425365664247459
NP_957516	102.0	556.0	6.0	31.0	0.81859744053224			0.8461463928578443
NP_958782	418.0	2261.0	30.0	73.0	0.0008586958220456328			0.005855392336593604
NP_976049	31.0	197.0	6.0	15.0	0.09993618632311757			0.16339376471080058
NP_991403	155.0	847.0	12.0	35.0	0.0989115034860494			0.1629576494214607
NP_996811	166.0	904.0	8.0	38.0	0.6803491678410554			0.7332083763700596
NP_997229	23.0	137.0	4.0	4.0	0.02384483552611392			0.06329184738412955
XP_003960280	182.0	968.0	8.0	31.0	0.38220659892391373			0.46956810724937975
XP_003960297	53.0	354.0	6.0	14.0	0.0438401102321675			0.09461922501215614
XP_003960677	121.0	647.0	5.0	24.0	0.7961069136724077			0.8268743306259307
