	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_001186346	594.0	62.0	24.0	5.0		0.19115721597701857		0.30758933843574804
NP_001188267	1148.0	107.0	56.0	6.0		0.6469892656759513		0.7142438670975678
NP_001191332	1151.0	93.0	36.0	9.0		0.00679296309262551		0.06558297094880265
NP_001191333	61.0	5.0	3.0	3.0		0.01585978826733731		0.08755908582797373
NP_001193723	655.0	62.0	36.0	4.0		0.771136617743994		0.803442745673516
NP_001193937	1974.0	185.0	81.0	8.0		0.8467518226890804		0.8580633928395072
NP_001193946	540.0	57.0	14.0	3.0		0.22592586895717853		0.3388888034357678
NP_001229687	271.0	17.0	5.0	5.0		0.0002733593527596533		0.01451538163153759
NP_001230056	486.0	44.0	17.0	4.0		0.10052095639185529		0.2091136755090378
NP_001234918	493.0	45.0	28.0	4.0		0.3438741958887598		0.4634446650175925
NP_001239007	287.0	28.0	15.0	3.0		0.22858765492167252		0.34013020584678416
NP_001239264	402.0	40.0	22.0	3.0		0.4933610980631257		0.5808752617993787
NP_001240841	740.0	73.0	34.0	6.0		0.2550282054874683		0.3730577881924123
NP_001243399	949.0	92.0	22.0	5.0		0.09013533220462668		0.1922163108460111
NP_001244119	186.0	19.0	10.0	5.0		0.01439984035727854		0.08238401922615683
NP_001244904	399.0	34.0	20.0	3.0		0.41954375172992686		0.5316890982543941
NP_001245303	1361.0	131.0	33.0	9.0		0.011034206909457328		0.07825153839761977
NP_001245383	410.0	40.0	15.0	5.0		0.03334189811461439		0.12526832875539187
NP_001254507	604.0	57.0	13.0	6.0		0.005175074363587977		0.058810486615221376
NP_001254523	278.0	23.0	13.0	5.0		0.013871352423220362		0.08175217881283998
NP_001258928	1442.0	139.0	61.0	11.0		0.08821756041102244		0.1904208316189143
NP_001263206	709.0	65.0	39.0	6.0		0.2695328590647903		0.3868160761173071
