	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_057417	2461.0	8902.0	55.0	129.0	0.008963870778243075			0.015199606971803474
NP_057427	220.0	838.0	30.0	6.0	7.267461980512434e-15			1.526167015907611e-13
NP_060110	304.0	1077.0	21.0	41.0	0.04179050735441793			0.06068515163700051
NP_060115	130.0	516.0	15.0	6.0	9.920603312391174e-07			5.6423431339224805e-06
NP_060130	138.0	479.0	7.0	13.0	0.18312839062275438			0.21549159758625838
NP_060395	513.0	1737.0	15.0	38.0	0.32590000422208404			0.3616695168806055
NP_060621	333.0	1216.0	18.0	29.0	0.011050302587485905			0.01785048879516954
NP_060649	209.0	776.0	11.0	13.0	0.009431427387680245			0.015887163570635212
NP_060731	156.0	541.0	8.0	12.0	0.0994276247500325			0.12878431898562676
NP_060873	213.0	719.0	13.0	13.0	0.003482974865282018			0.006512685878232814
NP_061155	156.0	552.0	12.0	9.0	0.0006445309333379336			0.001503905511121845
NP_061173	272.0	1009.0	9.0	15.0	0.07517886158425865			0.10261914606251306
NP_061330	156.0	580.0	13.0	13.0	0.0013842667895973874			0.00279929506340805
NP_061936	211.0	905.0	33.0	10.0	1.9602767880550435e-15			5.3515556313902686e-14
NP_062536	630.0	2211.0	33.0	85.0	0.14348254958154402			0.1764447569178447
NP_062552	173.0	641.0	9.0	7.0	0.002647278133738821			0.005018798128546515
NP_062565	323.0	1093.0	17.0	31.0	0.054366278930348316			0.07730205285408902
NP_062817	305.0	1005.0	25.0	20.0	7.632517329837174e-06			3.328562092388819e-05
NP_064504	318.0	1096.0	21.0	25.0	0.0006162008380224211			0.0014628072067836605
NP_065191	84.0	318.0	16.0	5.0	2.460153632883996e-07			1.5990998613745975e-06
NP_065805	325.0	1210.0	28.0	17.0	5.9266630825811455e-09			5.778496505516617e-08
NP_065816	210.0	713.0	7.0	13.0	0.18964645541948721			0.22125419798940177
NP_065875	326.0	1235.0	40.0	16.0	3.088290171738561e-15			7.025860140705227e-14
NP_065910	460.0	1646.0	10.0	34.0	0.8547672381860476			0.8610754834863136
NP_065939	518.0	1911.0	18.0	58.0	0.6697295245524063			0.695194525485958
NP_066301	113.0	415.0	23.0	12.0	7.880705178757102e-08			5.661664510001813e-07
NP_068506	490.0	1665.0	28.0	60.0	0.05296403632686706			0.07610095745913004
NP_071918	178.0	632.0	24.0	4.0	3.967440854582833e-12			5.4981446757066336e-11
NP_072096	157.0	563.0	7.0	9.0	0.061016767290289056			0.08533621742582922
NP_072174	1151.0	3988.0	76.0	128.0	2.5134388820351863e-06			1.345429048618835e-05
NP_073585	376.0	1301.0	12.0	33.0	0.47369810697294107			0.505154621889113
NP_073602	115.0	409.0	9.0	18.0	0.1636115096700123			0.195047782270364
NP_073733	161.0	540.0	8.0	13.0	0.11820426308013628			0.14870858903630046
NP_073744	196.0	652.0	10.0	27.0	0.5551604883925774			0.5874372609735412
NP_073746	130.0	456.0	13.0	12.0	0.001422390424043392			0.00285523960120475
NP_075385	214.0	841.0	23.0	23.0	1.1932539824363636e-05			4.8620647344048854e-05
NP_076998	92.0	337.0	6.0	8.0	0.09307108062449862			0.12334177189557342
NP_077313	25.0	100.0	10.0	1.0	3.893800167852627e-06			1.987217984425054e-05
NP_077734	55.0	194.0	14.0	0.0	2.5301958645563895e-09			2.5583091519403493e-08
NP_077740	63.0	201.0	10.0	4.0	0.0003679744176192168			0.000965932846250444
NP_079052	309.0	1021.0	9.0	25.0	0.6816214712114737			0.7021987231725747
NP_112197	169.0	625.0	18.0	9.0	8.903033575509425e-07			5.171336523646964e-06
NP_112533	199.0	702.0	18.0	31.0	0.02269639450970907			0.034044591764563606
NP_114128	365.0	1260.0	12.0	24.0	0.15629286040759482			0.18879624288174066
NP_115593	281.0	987.0	8.0	25.0	0.8318297606312295			0.8473489725833048
NP_115812	676.0	2400.0	18.0	59.0	0.7807556852655724			0.798300756844574
NP_115941	165.0	560.0	15.0	12.0	0.000314884125715042			0.0008427781011784946
NP_115970	60.0	220.0	9.0	4.0	0.0004495037777404144			0.0011532618285376847
NP_149062	83.0	282.0	6.0	15.0	0.5939648978849145			0.6260711085813963
NP_149131	333.0	1149.0	20.0	28.0	0.004514352644989885			0.008271263571021736
