	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_006028	159.0	369.0	9.0	18.0	0.8301498893867003			0.9377028739021498
NP_006244	113.0	296.0	14.0	10.0	0.0023796698995673673			0.09598001928255048
NP_006245	268.0	631.0	14.0	23.0	0.36010004934960904			0.6523264517127929
NP_006259	142.0	323.0	8.0	15.0	0.6492755019092133			0.8539384318588567
NP_006274	201.0	481.0	10.0	13.0	0.16655998588283563			0.49762366152649656
NP_006280	601.0	1425.0	20.0	41.0	0.5732154299370577			0.7926750516843882
NP_006302	711.0	1666.0	38.0	72.0	0.33850610585356866			0.6399881063794033
NP_006319	389.0	870.0	18.0	32.0	0.43950334216950193			0.7090619742254447
NP_006358	176.0	415.0	14.0	22.0	0.2644850060458862			0.6191469403637895
NP_006448	422.0	962.0	20.0	28.0	0.11204681292282664			0.43734401173103304
NP_006485	198.0	473.0	12.0	16.0	0.14299984728782636			0.47052999008851537
NP_006741	212.0	486.0	9.0	16.0	0.5168539946867537			0.7618779187786848
NP_006752	54.0	137.0	9.0	4.0	0.0038056915951146216			0.10627753611627369
NP_006757	135.0	314.0	11.0	17.0	0.298615686209734			0.6276707417329285
NP_006833	222.0	498.0	9.0	20.0	1.0			1.0
NP_008832	129.0	331.0	13.0	15.0	0.05189663362109556			0.27686271282131103
NP_008970	117.0	308.0	12.0	8.0	0.003952470351431666			0.10627753611627369
NP_009131	896.0	2038.0	44.0	92.0	0.6356567583482147			0.8452139314300436
NP_009134	312.0	702.0	10.0	22.0	1.0			1.0
NP_009217	828.0	1977.0	29.0	55.0	0.33299614491345264			0.6358438576408981
NP_009298	177.0	412.0	12.0	25.0	0.8536624905326554			0.9433165420497837
NP_031398	91.0	217.0	9.0	5.0	0.013959424867925469			0.1777989904230507
NP_036556	384.0	864.0	19.0	24.0	0.06694460334023336			0.3176587060458132
NP_055062	228.0	524.0	11.0	22.0	0.702217634311479			0.8607935932807272
NP_055422	30.0	78.0	7.0	4.0	0.03402459111932157			0.269082746468255
NP_055445	299.0	666.0	20.0	33.0	0.3612055559070837			0.6523264517127929
NP_055475	291.0	653.0	15.0	21.0	0.19900709352398305			0.53510796258671
NP_055476	168.0	366.0	14.0	18.0	0.17272771380591762			0.5036157438678561
NP_055518	82.0	169.0	8.0	9.0	0.28822004185978095			0.6227611618755982
NP_055535	361.0	821.0	17.0	35.0	0.7593611524600121			0.8811674143115769
NP_055599	582.0	1332.0	24.0	45.0	0.4278642988467666			0.7043752402783504
NP_055601	569.0	1298.0	26.0	50.0	0.5257728238584078			0.7618779187786848
NP_055617	308.0	699.0	16.0	25.0	0.3003954530232993			0.6276707417329285
