	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_005900	2493.0	3179.0	28.0	53.0		0.11382835409213875	0.31455102891838654	
NP_005959	380.0	481.0	14.0	24.0		0.4078155048636946	0.6124812786800469	
NP_005981	313.0	413.0	17.0	23.0		1.0	1.0	
NP_006022	425.0	555.0	17.0	23.0		1.0	1.0	
NP_006176	977.0	1257.0	35.0	49.0		0.7378930140890341	0.8421151912202536	
NP_006233	266.0	332.0	10.0	24.0		0.10898256745765386	0.3036479810544287	
NP_006245	393.0	506.0	14.0	23.0		0.5041963544490763	0.6868207964500345	
NP_006258	1795.0	2296.0	40.0	90.0		0.002945648011230085	0.042501492733462654	
NP_006259	200.0	265.0	8.0	15.0		0.5203186521774079	0.6963151499950062	
NP_006280	915.0	1111.0	13.0	48.0		0.00019846378373731703	0.008017936862987608	
NP_006302	1026.0	1351.0	33.0	77.0		0.00748712776908207	0.06979404420625328	
NP_006319	568.0	691.0	18.0	32.0		0.24619148268834717	0.4480241396670822	
NP_006358	261.0	330.0	11.0	25.0		0.12138740806262122	0.3182754802691984	
NP_006411	377.0	514.0	10.0	20.0		0.35396304794735156	0.5697253839471316	
NP_006448	595.0	789.0	15.0	33.0		0.1369118281796617	0.3344759645991352	
NP_006485	294.0	377.0	8.0	20.0		0.1227038519289843	0.3182754802691984	
NP_006600	340.0	438.0	12.0	18.0		0.712639399633429	0.8258209170388494	
NP_006608	1383.0	1680.0	28.0	46.0		0.23758822323102533	0.43591024714913756	
NP_006640	222.0	290.0	7.0	15.0		0.37987577261804145	0.5835354073676378	
NP_006653	404.0	544.0	13.0	26.0		0.32111905244606204	0.5306744797519353	
NP_006654	685.0	899.0	15.0	25.0		0.5205128101447819	0.6963151499950062	
NP_006700	202.0	273.0	8.0	18.0		0.30826504473083777	0.5167596600467156	
NP_006725	359.0	462.0	4.0	38.0		3.405918872118441e-06	0.0006879956121679251	
NP_006757	184.0	265.0	10.0	18.0		0.6931353330590478	0.8191217974708739	
NP_006833	320.0	400.0	11.0	18.0		0.5694718216263603	0.732696229098884	
NP_008832	202.0	258.0	4.0	24.0		0.0024756455060521818	0.0370429920164845	
NP_008970	193.0	232.0	2.0	18.0		0.0019045920744360787	0.03158512965663303	
NP_008987	168.0	221.0	7.0	18.0		0.149565866235284	0.3469351338143641	
NP_009131	1306.0	1628.0	40.0	96.0		0.0005265470903723976	0.016363463423880665	
NP_009134	468.0	546.0	13.0	19.0		0.5920225929145619	0.7427861103648541	
NP_009178	691.0	853.0	21.0	41.0		0.11704302321016191	0.3152358758460361	
NP_009217	1223.0	1582.0	36.0	48.0		0.9116251275250244	0.9591056029169529	
NP_009298	260.0	329.0	8.0	29.0		0.009334445085043754	0.07696154723178932	
NP_015559	340.0	465.0	16.0	26.0		0.6339281822719737	0.7784406858294145	
NP_036222	614.0	747.0	15.0	32.0		0.09973549303373382	0.2947935913765439	
NP_036234	288.0	412.0	18.0	26.0		1.0	1.0	
NP_036252	366.0	467.0	12.0	26.0		0.17992317193565352	0.3833173464815117	
NP_036288	704.0	958.0	14.0	24.0		0.6188328833799835	0.7645519415459123	
NP_036441	573.0	747.0	9.0	23.0		0.10369320777035262	0.29600581255578184	
NP_036556	547.0	701.0	17.0	26.0		0.6406581425408395	0.7803072099093957	
NP_036565	1008.0	1343.0	39.0	65.0		0.3113602617296233	0.5197915113172223	
NP_036587	288.0	382.0	9.0	24.0		0.1029614387878272	0.29600581255578184	
NP_037418	413.0	551.0	15.0	22.0		0.8662701572516194	0.9357570682611075	
NP_037450	702.0	920.0	22.0	44.0		0.1278254206265021	0.32478911907614366	
NP_037524	193.0	228.0	8.0	23.0		0.03839086659503122	0.17788541645718875	
NP_054749	432.0	552.0	14.0	21.0		0.7301656103354228	0.8380309845895194	
NP_054831	727.0	994.0	21.0	30.0		1.0	1.0	
NP_054878	583.0	811.0	28.0	42.0		0.8047666726542347	0.8907554404172899	
NP_054908	504.0	639.0	19.0	31.0		0.46724612345659333	0.6604294710132869	
NP_055062	341.0	411.0	11.0	22.0		0.21156063316275808	0.4219384595026267	
NP_055144	493.0	589.0	11.0	34.0		0.005518879798991546	0.05817549040906695	
NP_055160	1062.0	1328.0	36.0	96.0		9.448439288714487e-05	0.006361949121067754	
NP_055238	541.0	742.0	26.0	39.0		0.7973060191330454	0.8849220651916219	
NP_055315	602.0	816.0	23.0	51.0		0.05410477034541891	0.208174544948088	
NP_055412	395.0	527.0	11.0	24.0		0.22304985342121483	0.42903530210462704	
NP_055446	428.0	567.0	18.0	29.0		0.5501507759990227	0.7192909822123145	
NP_055456	897.0	1216.0	27.0	59.0		0.04487125933559326	0.18619292661950065	
NP_055475	415.0	529.0	13.0	23.0		0.39513026295676323	0.5956441277407923	
NP_055476	238.0	296.0	7.0	25.0		0.01574958595977273	0.10430873324177349	
NP_055477	215.0	273.0	10.0	25.0		0.07945481195169563	0.2547598732419447	
NP_055527	187.0	244.0	9.0	16.0		0.5371290630568326	0.7114758736883947	
NP_055542	363.0	480.0	10.0	36.0		0.0052161048671857824	0.056954226117379894	
NP_055554	1048.0	1385.0	58.0	86.0		0.5447121283878532	0.7168198692791293	
NP_055599	828.0	1086.0	21.0	48.0		0.03557849815325234	0.1708164916898839	
NP_055601	826.0	1041.0	28.0	48.0		0.2384558530197015	0.43591024714913756	
NP_055623	215.0	268.0	5.0	16.0		0.07294560711494966	0.23766149414870694	
NP_055625	450.0	581.0	13.0	33.0		0.047157534892558375	0.19051644096593584	
NP_055627	1220.0	1462.0	37.0	84.0		0.0013985837531784598	0.02674927901777	
NP_055642	255.0	309.0	4.0	22.0		0.002234856899775841	0.0347262379811323	
NP_055662	638.0	806.0	15.0	49.0		0.0011143947234370905	0.026483262839328503	
NP_055726	403.0	517.0	18.0	36.0		0.15750665039033293	0.3554898701547179	
NP_055750	694.0	915.0	16.0	37.0		0.06692759913379262	0.22721638697522875	
NP_055816	872.0	1239.0	44.0	78.0		0.2977211622079583	0.5053811277567662	
NP_055820	1014.0	1330.0	21.0	50.0		0.027769914961159513	0.14947575367532337	
NP_055831	407.0	538.0	17.0	27.0		0.6412301288221233	0.7803072099093957	
NP_055845	357.0	451.0	11.0	24.0		0.16436314167404167	0.36485005074897164	
NP_055855	196.0	242.0	10.0	20.0		0.257315854340556	0.46202491179370936	
NP_055863	272.0	328.0	8.0	18.0		0.16238138843661354	0.3624424360684634	
NP_055869	336.0	419.0	13.0	26.0		0.18852623555898318	0.3962703550481799	
NP_055872	505.0	625.0	9.0	32.0		0.003707950577245503	0.04681287603772447	
NP_055880	397.0	452.0	5.0	20.0		0.00794684661754369	0.06979404420625328	
NP_055885	914.0	1282.0	72.0	115.0		0.4395454479858843	0.6387638884399183	
NP_055889	214.0	273.0	13.0	18.0		0.8544429348996021	0.9279434024178475	
NP_055907	243.0	317.0	10.0	26.0		0.08149946135823205	0.2592581290450846	
NP_055912	543.0	752.0	22.0	32.0		0.8891136392439649	0.9460640095661604	
NP_055915	323.0	440.0	14.0	33.0		0.09564661981275197	0.28941008602426704	
NP_055940	724.0	945.0	26.0	61.0		0.014207880486110675	0.09896523648946057	
NP_055968	386.0	513.0	12.0	25.0		0.23701917898470906	0.43591024714913756	
NP_055970	428.0	558.0	16.0	30.0		0.28750844128630465	0.49568398972396144	
NP_055972	991.0	1276.0	23.0	30.0		1.0	1.0	
NP_055979	159.0	208.0	10.0	15.0		0.8362438853869512	0.9155624111011605	
NP_055987	619.0	804.0	15.0	36.0		0.06031793639759564	0.21792342931278064	
NP_056018	717.0	959.0	21.0	32.0		0.6749434139625075	0.8085136330131695	
NP_056023	360.0	482.0	17.0	27.0		0.6412425586384143	0.7803072099093957	
NP_056056	498.0	612.0	8.0	25.0		0.02040348078618996	0.1248940339033446	
NP_056067	495.0	608.0	9.0	27.0		0.025320414888258907	0.14407672696981125	
NP_056073	628.0	789.0	28.0	37.0		0.8987638069878818	0.9505250733589117	
NP_056079	344.0	457.0	12.0	22.0		0.4794222981062039	0.6669167363191765	
NP_056093	696.0	852.0	4.0	29.0		0.00011756958537227264	0.00675960627745371	
NP_056130	756.0	1000.0	31.0	44.0		0.8124660640809327	0.8968204641767672	
NP_056134	555.0	753.0	12.0	28.0		0.14325254473900206	0.3424498702636499	
NP_056140	326.0	439.0	13.0	33.0		0.06454041401055526	0.22096887508698582	
NP_056145	430.0	561.0	14.0	24.0		0.5054889714576432	0.6868207964500345	
NP_056171	996.0	1279.0	26.0	36.0		0.7968052806223207	0.8849220651916219	
NP_056193	584.0	758.0	24.0	40.0		0.36828575611471426	0.5789394765383057	
NP_056258	216.0	290.0	7.0	19.0		0.15292805975739474	0.3510394098976561	
NP_056261	461.0	581.0	9.0	29.0		0.012258720276355864	0.08855693846931167	
NP_056272	565.0	712.0	11.0	28.0		0.05003996182087299	0.1978825668323098	
NP_056285	702.0	913.0	10.0	22.0		0.20763610200536822	0.4173382348764615	
NP_056345	351.0	433.0	11.0	18.0		0.5693811114787982	0.732696229098884	
NP_056364	640.0	792.0	25.0	40.0		0.3722042040090817	0.580581074979417	
NP_056371	1077.0	1372.0	48.0	74.0		0.35004065417896973	0.5656656971532151	
NP_056390	475.0	591.0	12.0	31.0		0.040511638109946096	0.17788541645718875	
NP_056393	286.0	355.0	9.0	18.0		0.3231334703440002	0.5306744797519353	
NP_056450	414.0	539.0	18.0	25.0		0.8762365280418289	0.9414881843853693	
NP_056464	278.0	372.0	12.0	21.0		0.588782244616282	0.741489129994357	
NP_056485	195.0	281.0	11.0	21.0		0.5776826317847049	0.7385459717944721	
NP_056969	404.0	551.0	24.0	35.0		0.8922039298136315	0.9460640095661604	
NP_056986	343.0	437.0	12.0	24.0		0.23205965390471678	0.43403750082178505	
NP_057114	148.0	180.0	7.0	18.0		0.1420666462397029	0.34163645881452365	
NP_057269	317.0	399.0	12.0	20.0		0.47352555422898146	0.6640742924169641	
NP_057332	707.0	911.0	20.0	38.0		0.17916955371586518	0.3833173464815117	
NP_057377	455.0	589.0	13.0	35.0		0.025262154406350677	0.14407672696981125	
NP_057404	661.0	827.0	25.0	37.0		0.6021802360782189	0.753191378871828	
NP_057417	4564.0	6314.0	273.0	396.0		0.5721253989015563	0.7337735274800913	
NP_057427	465.0	591.0	6.0	32.0		0.0003769625224229005	0.012691071588237651	
NP_057541	363.0	474.0	14.0	28.0		0.2632013518017898	0.468428837567943	
NP_057562	403.0	556.0	24.0	34.0		1.0	1.0	
NP_057591	688.0	885.0	16.0	50.0		0.0014566439069082673	0.02674927901777	
NP_060110	612.0	778.0	14.0	39.0		0.010978482289621089	0.08368503481145131	
NP_060130	262.0	342.0	13.0	20.0		0.7203637545625716	0.8314142559876092	
NP_060252	312.0	427.0	10.0	24.0		0.15708396487743392	0.3554898701547179	
NP_060275	267.0	332.0	9.0	23.0		0.07046175615508607	0.2314353616801201	
NP_060395	962.0	1236.0	39.0	66.0		0.19134244108344023	0.3964222881933839	
NP_060493	287.0	405.0	9.0	26.0		0.0775043592369303	0.25049408905375875	
NP_060496	314.0	422.0	10.0	23.0		0.20700053293622817	0.4173382348764615	
NP_060498	363.0	454.0	9.0	26.0		0.035740100768103966	0.1708164916898839	
NP_060537	917.0	1225.0	36.0	81.0		0.012145204296666472	0.08855693846931167	
NP_060621	662.0	871.0	14.0	49.0		0.0009955380907155475	0.026483262839328503	
NP_060644	697.0	902.0	30.0	39.0		1.0	1.0	
NP_060649	412.0	544.0	14.0	39.0		0.02144946681702331	0.1293370834936928	
NP_060700	217.0	295.0	6.0	15.0		0.26182398508581994	0.4680393361711117	
NP_060731	299.0	383.0	12.0	23.0		0.2977245257576989	0.5053811277567662	
NP_060733	414.0	556.0	23.0	39.0		0.4280243412348343	0.6265283835466414	
NP_060757	442.0	580.0	12.0	23.0		0.385521650347866	0.5835988517009079	
NP_060873	400.0	521.0	12.0	25.0		0.23583490233670729	0.43591024714913756	
NP_060952	356.0	494.0	16.0	28.0		0.5321496874770002	0.7089454095460931	
NP_061155	306.0	391.0	11.0	21.0		0.36260679634905	0.5752121913967404	
NP_061173	536.0	707.0	25.0	37.0		0.6953063626418874	0.8191217974708739	
NP_061322	596.0	759.0	35.0	46.0		0.908850389752301	0.9586829176499468	
NP_061857	371.0	475.0	9.0	23.0		0.10100536740501073	0.29510453627787414	
NP_061936	479.0	637.0	13.0	30.0		0.11609825119668352	0.3147898891507392	
NP_062552	329.0	444.0	21.0	36.0		0.4874216668006268	0.6734383151133391	
NP_062565	645.0	770.0	12.0	37.0		0.003322491860023367	0.04474289038164801	
NP_062817	598.0	709.0	12.0	36.0		0.004697914343105601	0.05422735413184752	
NP_064504	641.0	775.0	12.0	32.0		0.020396249584188904	0.1248940339033446	
NP_065770	650.0	859.0	20.0	41.0		0.11529588851669842	0.31472661459963625	
NP_065805	661.0	845.0	25.0	49.0		0.09332796957133652	0.28564014929409054	
NP_065812	220.0	288.0	6.0	18.0		0.09171252507645623	0.28283862695334594	
NP_065816	394.0	498.0	19.0	32.0		0.384971795929028	0.5835988517009079	
NP_065823	382.0	475.0	11.0	30.0		0.03498478691147119	0.1708164916898839	
NP_065859	538.0	654.0	10.0	22.0		0.14942220440335807	0.3469351338143641	
NP_065875	686.0	874.0	17.0	40.0		0.04069956599334397	0.17788541645718875	
NP_065883	678.0	903.0	32.0	46.0		0.8149820898495314	0.8971464967280944	
NP_065897	486.0	621.0	13.0	31.0		0.06372738322625851	0.22096887508698582	
NP_065905	342.0	457.0	10.0	18.0		0.5610015307820366	0.7287608309837389	
NP_065970	221.0	285.0	9.0	13.0		0.830325153932696	0.9115526146435032	
NP_065997	269.0	374.0	14.0	23.0		0.7324950981160295	0.8383230018098469	
NP_067051	594.0	782.0	32.0	51.0		0.42655993906679635	0.6265283835466414	
NP_067643	640.0	807.0	22.0	32.0		0.6764297226694338	0.8085136330131695	
