	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_005372	373.0	820.0	7.0	43.0		0.007633976686571625	0.02143032009603842	
NP_005409	361.0	840.0	7.0	37.0		0.0440699355274942	0.09007276296408902	
NP_005427	297.0	676.0	6.0	33.0		0.04902306214240096	0.0983840759894507	
NP_005742	246.0	521.0	8.0	34.0		0.08802755546789609	0.15777246480015225	
NP_005766	227.0	498.0	4.0	34.0		0.005852125403732672	0.017153416233650274	
NP_005804	247.0	529.0	1.0	31.0		0.00013116428232035326	0.0006236995465437206	
NP_005959	266.0	593.0	9.0	31.0		0.29573493318506594	0.4089661112019257	
NP_006176	704.0	1510.0	22.0	82.0		0.02286045156754493	0.05121620399267278	
NP_006247	235.0	523.0	1.0	24.0		0.002909243010719076	0.009414633631910342	
NP_006280	612.0	1392.0	9.0	74.0		4.1953854879289337e-05	0.00022733135318312592	
NP_006319	400.0	863.0	7.0	39.0		0.021934632810447247	0.04991322326126451	
NP_006428	313.0	656.0	0.0	30.0		2.164553876065044e-05	0.0001363083927359879	
NP_006448	427.0	944.0	15.0	46.0		0.3226762876280074	0.43446198657005075	
NP_006608	994.0	2022.0	6.0	115.0		1.9823797144357367e-13	1.1547361836588167e-11	
NP_006654	484.0	1081.0	4.0	55.0		1.6415736406654824e-05	0.00011300778764236298	
NP_006847	241.0	561.0	8.0	26.0		0.5657716250475036	0.6525979635448927	
NP_008818	146.0	314.0	2.0	19.0		0.030179272192952897	0.06510898537924098	
NP_008835	159.0	359.0	5.0	20.0		0.37200615476050747	0.48423147519105164	
NP_009045	439.0	955.0	13.0	39.0		0.3634018267952489	0.47588105885187726	
NP_009057	208.0	441.0	6.0	24.0		0.2271468092706802	0.33318119393693124	
NP_009131	916.0	2031.0	24.0	99.0		0.0067493988767725	0.019178169979121862	
NP_009134	319.0	678.0	3.0	46.0		4.324524802913142e-05	0.0002290032452451732	
NP_009217	846.0	1908.0	11.0	124.0		8.487592310171371e-10	2.1973433425221435e-08	
NP_036252	254.0	579.0	10.0	28.0		0.7187167202557738	0.7862018583079591	
NP_036288	488.0	1140.0	16.0	56.0		0.187376194881358	0.28722798294313434	
NP_036364	317.0	653.0	4.0	50.0		2.9248949679539034e-05	0.00017474372500852808	
NP_036387	232.0	510.0	9.0	33.0		0.22879395291806437	0.33318119393693124	
NP_036565	719.0	1652.0	19.0	65.0		0.14658508592987216	0.23718281265041813	
NP_054706	487.0	1097.0	9.0	39.0		0.08079015014219945	0.14706332018072243	
NP_054749	300.0	670.0	15.0	34.0		1.0	1.0	
NP_054908	357.0	787.0	7.0	42.0		0.010806811511841243	0.026839900053399826	
NP_055144	341.0	744.0	13.0	29.0		1.0	1.0	
NP_055412	297.0	623.0	3.0	34.0		0.0009693548791644584	0.003702617817136374	
NP_055446	313.0	700.0	3.0	26.0		0.022064643759271436	0.04991322326126451	
NP_055599	598.0	1321.0	8.0	56.0		0.000844484995721711	0.003392500069019977	
NP_055601	591.0	1293.0	4.0	55.0		1.0242689731941677e-05	7.457958461070034e-05	
NP_055617	312.0	689.0	12.0	35.0		0.5186325270386539	0.622893705154672	
NP_055627	830.0	1869.0	12.0	92.0		9.358920235982784e-06	7.03428520962577e-05	
NP_055647	330.0	744.0	6.0	25.0		0.2344315425523322	0.33927049325896524	
NP_055662	448.0	1007.0	12.0	41.0		0.2274165842742675	0.33318119393693124	
NP_055750	483.0	1085.0	12.0	82.0		0.00010504999421894371	0.0005099301802711226	
NP_055831	304.0	647.0	10.0	28.0		0.5943001105137453	0.6787839497534444	
NP_055847	359.0	790.0	5.0	26.0		0.07804588807202306	0.14318655055733365	
NP_055872	336.0	790.0	9.0	36.0		0.18342013911516725	0.2830257775750594	
NP_055888	393.0	879.0	13.0	35.0		0.6355561383397406	0.7085386614026773	
NP_055912	407.0	883.0	13.0	46.0		0.15010694727351098	0.24120633596364177	
NP_055940	524.0	1182.0	9.0	41.0		0.060722539750742884	0.11597009640920566	
NP_055968	276.0	628.0	8.0	24.0		0.5634054320118688	0.6525979635448927	
NP_055972	697.0	1538.0	9.0	76.0		1.840906583537968e-05	0.00011914756499009624	
NP_055987	452.0	978.0	6.0	38.0		0.012103326893413004	0.029101685484712012	
