	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_060873	294.0	638.0	3.0	23.0		0.030828580438895945	0.09546915232690358	
NP_062565	443.0	973.0	13.0	35.0		0.6353868890370913	0.7176134276183619	
NP_062817	395.0	915.0	8.0	37.0		0.09587473262787212	0.21914224600656484	
NP_065750	234.0	511.0	9.0	30.0		0.3741797451903645	0.5115788627702632	
NP_065770	476.0	1053.0	9.0	32.0		0.23459949098201613	0.3817212056656534	
NP_065953	657.0	1398.0	8.0	38.0		0.03700730545017966	0.11102191635053898	
NP_071934	301.0	640.0	7.0	36.0		0.029135511476905834	0.09323363672609868	
NP_073744	266.0	582.0	7.0	30.0		0.14462591434441135	0.30182799515355413	
NP_075385	346.0	709.0	3.0	43.0		6.171920555267022e-05	0.0009875072888427235	
NP_112533	285.0	616.0	10.0	39.0		0.11336435328447084	0.24734040716611816	
NP_114128	499.0	1126.0	9.0	27.0		0.5839809779958545	0.6836850474097808	
NP_115812	961.0	2115.0	21.0	56.0		0.533740939647096	0.6485965848876104	
NP_203754	1778.0	3933.0	45.0	142.0		0.04408879519954283	0.12092926683303175	
NP_510880	486.0	1114.0	9.0	50.0		0.01308630476594869	0.05982310750147972	
NP_542417	751.0	1653.0	4.0	29.0		0.02122478134185358	0.07546588921547938	
NP_620305	513.0	1145.0	11.0	33.0		0.5083209700195497	0.6337508197646333	
NP_663719	350.0	774.0	10.0	28.0		0.5962301416567011	0.6896155855306422	
NP_689449	340.0	730.0	8.0	27.0		0.35502467374823377	0.4994209692524489	
NP_733793	349.0	716.0	3.0	33.0		0.001549052483960735	0.01239241987168588	
NP_872363	572.0	1223.0	6.0	52.0		0.00024815870475192284	0.002992480411313247	
NP_937883	347.0	763.0	10.0	30.0		0.48794555486723995	0.6205402688295512	
NP_940890	696.0	1489.0	7.0	93.0		6.0349312388465336e-09	1.9311779964308907e-07	
NP_958782	848.0	1849.0	22.0	63.0		0.34162204443129995	0.4994209692524489	
NP_997006	397.0	860.0	14.0	35.0		0.7546961734747197	0.7961629961931109	
NP_000156	151.0	331.0	30.0	10.0	8.783359763826021e-08			2.986342319700847e-06
NP_001002295	90.0	203.0	9.0	4.0	0.0060289505481625795			0.024115802192650318
NP_001005751	790.0	1810.0	32.0	35.0	0.004457377574337222			0.018943854690933196
NP_001010883	168.0	379.0	19.0	11.0	0.00043988084767275363			0.002991189764174725
NP_001014972	355.0	742.0	12.0	19.0	0.443671629395995			0.5231734820623294
NP_001020766	209.0	491.0	23.0	12.0	2.286890370228192e-05			0.0003588658734819624
NP_001030128	468.0	1043.0	22.0	43.0	0.6815359482960293			0.7203799660745595
NP_001032242	491.0	1114.0	17.0	37.0	0.8814167256065165			0.8924393809941841
NP_001035905	497.0	1086.0	12.0	10.0	0.034688966609864876			0.09311248932121624
NP_001035919	301.0	681.0	16.0	19.0	0.06472600355392596			0.14046919920213718
NP_001059	533.0	1184.0	18.0	31.0	0.43461171299382617			0.5154697061089567
NP_001073883	269.0	582.0	18.0	24.0	0.13091411057143013			0.23621765986123366
NP_001074295	392.0	915.0	27.0	18.0	5.052338775854621e-05			0.0006417255747767131
NP_001074419	129.0	269.0	9.0	6.0	0.04643003936290427			0.10887043712681
NP_001091886	188.0	440.0	15.0	6.0	0.00014306232361075116			0.0013319253360711961
NP_001094089	150.0	347.0	8.0	10.0	0.20201173791113808			0.30985259048024183
NP_001104026	1015.0	2303.0	53.0	64.0	0.0010762642448553209			0.006861184560952671
NP_001104595	139.0	316.0	10.0	19.0	0.6802223934356657			0.7203799660745595
NP_001107018	733.0	1658.0	29.0	20.0	5.976855843508603e-05			0.0006417255747767131
NP_001107854	383.0	881.0	14.0	20.0	0.1883168443698932			0.29551258654967855
NP_001120683	229.0	520.0	15.0	15.0	0.04238414316312755			0.1054434781131466
NP_001120982	516.0	1094.0	12.0	20.0	0.5670482055290772			0.6219238383222137
NP_001123910	285.0	652.0	13.0	20.0	0.3364177904512652			0.42893268282536307
NP_001123999	510.0	1153.0	27.0	39.0	0.10258599346111771			0.19025038787334558
NP_001127853	329.0	740.0	12.0	12.0	0.07154156768886182			0.15362610324766116
NP_001128712	188.0	425.0	13.0	15.0	0.09522231066240688			0.18325803184085854
NP_001129663	346.0	821.0	32.0	15.0	1.3380177640054166e-07			3.8993660551015e-06
NP_001135452	1628.0	3667.0	60.0	108.0	0.17522785090783183			0.2882780772999814
NP_001138241	147.0	334.0	9.0	13.0	0.34694693994820197			0.43175188593711566
NP_001138678	537.0	1197.0	25.0	35.0	0.08925726761260992			0.17678138439779054
NP_001139	241.0	520.0	13.0	8.0	0.007409030682355761			0.028517778475482553
NP_001153575	244.0	562.0	11.0	14.0	0.18459635831400512			0.29420044606294565
NP_001157789	798.0	1817.0	39.0	58.0	0.04455209603680091			0.10819794751794505
NP_001158136	484.0	1123.0	38.0	24.0	8.757824200423457e-07			2.2332451711079815e-05
NP_001159581	350.0	831.0	22.0	14.0	0.0001436390068312074			0.0013319253360711961
NP_001165780	182.0	426.0	14.0	15.0	0.04129792713704905			0.1040095942710865
NP_001166171	174.0	420.0	36.0	6.0	3.830501322386156e-13			3.907111348833879e-11
NP_001177916	179.0	414.0	9.0	3.0	0.0020236167517912115			0.010320445434135178
NP_001180237	95.0	226.0	8.0	10.0	0.1943090047836322			0.3002957346656134
NP_001184223	330.0	760.0	20.0	17.0	0.0034038418821960717			0.014839138131028112
NP_001186308	313.0	698.0	15.0	22.0	0.21242023312531955			0.31630458071215467
NP_001191397	264.0	625.0	11.0	15.0	0.1929424860379706			0.3002957346656134
NP_001230368	351.0	753.0	14.0	10.0	0.013135783980703832			0.044661665534393026
NP_001240628	450.0	963.0	21.0	22.0	0.0299945768685903			0.08382046138619755
NP_001240841	251.0	583.0	8.0	11.0	0.3124745008901959			0.4019071046569543
