	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_005179	162.0	358.0	6.0	26.0		0.16768898148813072	0.3216124495705194	
NP_005349	795.0	1811.0	21.0	84.0		0.022340602746414428	0.0911354746956906	
NP_005372	372.0	837.0	8.0	26.0		0.4521660808742658	0.5994996299841395	
NP_005376	272.0	579.0	11.0	29.0		0.6066345837151036	0.7459573589224001	
NP_005383	309.0	653.0	6.0	34.0		0.02316146062436454	0.09157685200710289	
NP_005426	522.0	1188.0	9.0	36.0		0.14163523511335552	0.2983477584602603	
NP_005602	295.0	668.0	6.0	31.0		0.06796079517785869	0.1879126296097057	
NP_005624	184.0	421.0	6.0	29.0		0.1266677132922437	0.2782359172316806	
NP_005753	535.0	1188.0	19.0	45.0		0.8910493558278962	0.9703376459651243	
NP_005757	295.0	708.0	12.0	35.0		0.6260840888879502	0.7483888876474568	
NP_005830	1164.0	2504.0	23.0	244.0		2.898431464235286e-18	3.7244844315423425e-16	
NP_006176	708.0	1527.0	18.0	65.0		0.054486125887650075	0.16476558471773767	
NP_006188	963.0	2056.0	17.0	73.0		0.007944767995383017	0.051045134370335886	
NP_006258	1233.0	2858.0	34.0	96.0		0.3817034052230553	0.5331400822952458	
NP_006303	865.0	2011.0	34.0	107.0		0.156802828551596	0.31239013130046644	
NP_006412	225.0	494.0	6.0	23.0		0.30549637180995337	0.4618386326774001	
NP_006428	302.0	660.0	11.0	26.0		1.0	1.0	
NP_006600	251.0	529.0	6.0	22.0		0.3026559823534401	0.4618386326774001	
NP_006608	990.0	2079.0	10.0	58.0		0.0014698966093974705	0.01798873469595952	
NP_006687	173.0	365.0	8.0	22.0		0.6877248288166758	0.7997524027415642	
NP_006717	593.0	1282.0	12.0	40.0		0.22627567422891548	0.3929246505191302	
NP_006833	223.0	499.0	8.0	19.0		1.0	1.0	
NP_009045	440.0	960.0	12.0	34.0		0.5195527359901928	0.6562121843030808	
NP_009178	465.0	1084.0	16.0	41.0		0.8830708717146054	0.9671919845977908	
NP_009297	203.0	446.0	6.0	35.0		0.023044486669685442	0.09157685200710289	
NP_036253	369.0	805.0	8.0	26.0		0.452540576719545	0.5994996299841395	
NP_036288	496.0	1172.0	8.0	24.0		0.6969546028144082	0.806834832987851	
NP_036387	240.0	518.0	1.0	25.0		0.0009958560373888692	0.015055000094643492	
NP_036440	254.0	590.0	12.0	31.0		0.8652525372808377	0.9559833970970546	
NP_036441	416.0	905.0	5.0	26.0		0.07771534625545401	0.1966636081047149	
NP_036565	718.0	1649.0	20.0	68.0		0.1548288919388524	0.3108673845959771	
NP_037450	500.0	1131.0	12.0	45.0		0.14278900502183664	0.2983477584602603	
NP_054706	486.0	1101.0	10.0	35.0		0.253764537585109	0.4232909088513442	
NP_054749	305.0	679.0	10.0	25.0		0.8537630422460659	0.9550750739123697	
NP_054831	539.0	1191.0	11.0	31.0		0.6130645780647312	0.7483888876474568	
NP_054878	446.0	955.0	13.0	50.0		0.07062489673989278	0.18906873398075463	
NP_054908	352.0	796.0	12.0	33.0		0.6242172951680682	0.7483888876474568	
NP_055160	738.0	1658.0	31.0	95.0		0.16431059839066792	0.3213200801681775	
NP_055238	399.0	885.0	11.0	53.0		0.01775663690129565	0.07763553890239841	
NP_055315	443.0	979.0	11.0	59.0		0.005041955276060435	0.03847141675102169	
NP_055427	284.0	603.0	4.0	36.0		0.002519334889811973	0.025613052043960912	
NP_055430	196.0	391.0	2.0	22.0		0.007491724628391811	0.050667716565702514	
NP_055456	645.0	1476.0	23.0	55.0		0.9010154676399635	0.9729452738801286	
NP_055464	132.0	281.0	1.0	25.0		0.0014653767403369129	0.01798873469595952	
NP_055524	169.0	369.0	8.0	28.0		0.270722614963555	0.4431574015645455	
NP_055527	130.0	301.0	4.0	21.0		0.17541144662223795	0.32180340744503455	
NP_055542	270.0	577.0	9.0	33.0		0.17543293295018508	0.32180340744503455	
NP_055554	749.0	1691.0	30.0	107.0		0.02810926727799551	0.10492860970526191	
NP_055596	321.0	677.0	2.0	34.0		0.0003299954377474346	0.006997479032840584	
NP_055662	448.0	994.0	12.0	54.0		0.02817149443448666	0.10492860970526191	
NP_055681	953.0	2201.0	21.0	57.0		0.6176825604675096	0.7483888876474568	
NP_055726	293.0	630.0	8.0	43.0		0.018536274351253525	0.07939704180453593	
NP_055750	488.0	1128.0	7.0	39.0		0.03240552956002622	0.1165910859783428	
NP_055756	248.0	567.0	2.0	28.0		0.0036151003053986677	0.0313692163311088	
NP_055792	808.0	1788.0	42.0	129.0		0.07281469138714436	0.19095281312751125	
NP_055816	667.0	1455.0	16.0	95.0		7.826178095441007e-05	0.0028733253864690555	
NP_055820	691.0	1654.0	16.0	54.0		0.28601388246095993	0.4565563216923398	
NP_055831	307.0	645.0	7.0	30.0		0.105160242886073	0.24351138448243903	
NP_055847	352.0	759.0	12.0	57.0		0.014913462250091797	0.07231622260893569	
NP_055857	435.0	977.0	14.0	41.0		0.45773694618448973	0.6032738213816096	
NP_055885	696.0	1511.0	33.0	143.0		0.0003298012176088205	0.006997479032840584	
NP_055889	146.0	342.0	6.0	24.0		0.30479341567941254	0.4618386326774001	
NP_055927	495.0	1148.0	17.0	47.0		0.5813597488565173	0.7183146896929085	
NP_055968	277.0	620.0	7.0	32.0		0.10837658352932837	0.24648479616847252	
NP_055970	304.0	691.0	6.0	31.0		0.06825795591995831	0.1879126296097057	
NP_055972	694.0	1577.0	12.0	37.0		0.43376403354170223	0.5898272837048544	
NP_055987	451.0	976.0	7.0	40.0		0.015439461801160704	0.07348040153515373	
NP_056018	518.0	1165.0	11.0	35.0		0.4173271351672079	0.5704950730743213	
NP_056023	262.0	579.0	10.0	35.0		0.246809627963109	0.4173031209639409	
NP_056060	297.0	665.0	5.0	27.0		0.07805326080420591	0.1966636081047149	
NP_056077	248.0	548.0	4.0	24.0		0.06149350107585594	0.17871846485811377	
NP_056079	253.0	553.0	5.0	24.0		0.15042246999409697	0.3043982266809679	
NP_056130	552.0	1209.0	19.0	51.0		0.5121817803919725	0.6562121843030808	
NP_056145	313.0	681.0	6.0	29.0		0.09278692370652557	0.22286205039791654	
NP_056182	166.0	368.0	1.0	22.0		0.004251845416029119	0.03524917006191883	
NP_056261	325.0	720.0	8.0	27.0		0.3554350418701186	0.5190159418217073	
NP_056262	316.0	723.0	6.0	35.0		0.035429492597157206	0.12304567023607299	
NP_056342	252.0	540.0	3.0	34.0		0.0015437589964617175	0.01803391191321188	
NP_056371	735.0	1723.0	29.0	84.0		0.39961501940667066	0.5492035293449965	
NP_056390	332.0	743.0	10.0	24.0		1.0	1.0	
NP_056450	294.0	661.0	5.0	36.0		0.008903429081402174	0.05321351799814788	
NP_056969	297.0	660.0	12.0	45.0		0.1380368949045567	0.29811329403757203	
NP_056986	245.0	542.0	5.0	24.0		0.14997642394203636	0.3043982266809679	
NP_056988	316.0	710.0	12.0	29.0		1.0	1.0	
NP_057269	225.0	491.0	5.0	27.0		0.07631094759176923	0.1966636081047149	
NP_057332	483.0	1140.0	13.0	40.0		0.44899845600495925	0.5994996299841395	
NP_057417	3485.0	7422.0	93.0	547.0		7.129495439903693e-23	1.832280328055249e-20	
NP_057427	350.0	712.0	5.0	27.0		0.05324022175856454	0.16476558471773767	
NP_057562	297.0	669.0	15.0	36.0		1.0	1.0	
NP_057572	188.0	393.0	6.0	38.0		0.01039134638035474	0.059346133772248184	
NP_057591	493.0	1087.0	11.0	48.0		0.04384537576190178	0.14446489193344558	
NP_058519	777.0	1756.0	6.0	42.0		0.006350545074550717	0.04411054281512255	
NP_060414	187.0	422.0	11.0	38.0		0.2595151523881746	0.42753457797282607	
NP_060439	365.0	805.0	9.0	66.0		0.0002318000797583799	0.006619180055322626	
NP_060493	211.0	486.0	8.0	22.0		0.8393892122438937	0.9503217072540999	
NP_060537	648.0	1497.0	32.0	82.0		0.6760246384631424	0.7933257172832311	
NP_060733	310.0	671.0	12.0	39.0		0.27815622004271345	0.44959841855960603	
NP_060783	304.0	657.0	9.0	37.0		0.10240453285834825	0.24144921967518806	
NP_060952	264.0	592.0	7.0	31.0		0.1474159256681296	0.30308714317367447	
NP_061173	393.0	855.0	12.0	45.0		0.10784577741867965	0.24648479616847252	
NP_061322	423.0	942.0	21.0	50.0		0.8954457191452508	0.9710107587355674	
NP_062536	869.0	2005.0	25.0	60.0		1.0	1.0	
NP_062552	241.0	534.0	10.0	45.0		0.048072010383446044	0.1544313333568204	
NP_062565	441.0	979.0	6.0	38.0		0.012221175833326214	0.06281684378329674	
NP_062817	395.0	915.0	11.0	34.0		0.5086423829235966	0.6562121843030808	
NP_065770	463.0	1050.0	15.0	42.0		0.5591882205482852	0.6976280227228606	
NP_065816	272.0	623.0	13.0	35.0		0.7474316889071716	0.8575443930765317	
NP_065821	327.0	741.0	3.0	20.0		0.10517417773366045	0.24351138448243903	
NP_065859	371.0	826.0	5.0	22.0		0.20729983824372245	0.3660196631883598	
NP_065875	486.0	1081.0	15.0	35.0		1.0	1.0	
NP_065883	499.0	1091.0	12.0	57.0		0.01578788459562074	0.07374068143568747	
NP_065899	846.0	2006.0	21.0	52.0		1.0	1.0	
NP_065910	645.0	1436.0	17.0	52.0		0.2908167173388543	0.4604762238455469	
NP_065939	748.0	1664.0	21.0	72.0		0.08665580259501017	0.21413981987420783	
NP_065952	449.0	995.0	12.0	56.0		0.02117769917664141	0.08778497884511037	
NP_065953	616.0	1428.0	11.0	46.0		0.07993906015420313	0.19945959669543886	
NP_066018	213.0	461.0	5.0	33.0		0.01761162431007972	0.07763553890239841	
NP_066576	176.0	408.0	5.0	23.0		0.2054398139338212	0.3660196631883598	
NP_067051	431.0	952.0	11.0	65.0		0.0018694016795790733	0.020888531810948775	
NP_067643	445.0	1003.0	13.0	40.0		0.3664856949865902	0.5240123241996273	
NP_071440	151.0	316.0	4.0	26.0		0.03991448427179882	0.13455285985630963	
NP_071918	250.0	555.0	5.0	28.0		0.054494454089524136	0.16476558471773767	
NP_073568	358.0	792.0	16.0	50.0		0.2737460341975874	0.44527044803025295	
NP_073589	80.0	178.0	3.0	19.0		0.09476147024632586	0.2254972023454236	
NP_073605	321.0	671.0	10.0	62.0		0.0008499642375011505	0.014562720602519712	
NP_073613	163.0	349.0	5.0	23.0		0.14421721509469426	0.29890180870432603	
NP_073744	262.0	598.0	7.0	18.0		1.0	1.0	
NP_075385	332.0	717.0	5.0	47.0		0.0003385827384306704	0.006997479032840584	
NP_075463	289.0	640.0	4.0	22.0		0.12878586184995036	0.2804912414867563	
NP_076916	266.0	639.0	11.0	32.0		0.7317367384240947	0.8433019810537773	
NP_077003	250.0	556.0	9.0	33.0		0.2299656659028076	0.394007840913477	
NP_078772	294.0	666.0	17.0	42.0		0.884397340001871	0.9671919845977908	
NP_078779	291.0	607.0	7.0	34.0		0.039979978130901185	0.13455285985630963	
NP_079031	318.0	648.0	11.0	43.0		0.07148320432250463	0.18939364444209988	
NP_079410	134.0	297.0	7.0	26.0		0.3257879860593236	0.4839740602152957	
NP_079524	466.0	1011.0	8.0	36.0		0.06870344311160717	0.1879126296097057	
NP_112604	165.0	364.0	6.0	39.0		0.010630624542600019	0.05939283711843924	
NP_114032	169.0	384.0	12.0	28.0		1.0	1.0	
NP_114128	488.0	1113.0	15.0	45.0		0.3945455282092738	0.5451516169343192	
NP_114129	210.0	478.0	8.0	35.0		0.12147172101974246	0.269122692259257	
NP_115593	387.0	863.0	10.0	41.0		0.08955729927302711	0.21920215155398065	
NP_115812	932.0	2115.0	29.0	77.0		0.520761131182031	0.6562121843030808	
NP_116114	361.0	729.0	7.0	83.0		4.886116931575908e-08	4.185773504716695e-06	
