	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_001254652	87.0	451.0	9.0	8.0	0.0007088375480979704			0.005059832253902585
NP_001254772	24.0	163.0	7.0	11.0	0.00881801837092524			0.027950253175712494
NP_001258928	257.0	1324.0	15.0	57.0	0.3281832027362686			0.3732446269461708
NP_001261	65.0	343.0	9.0	19.0	0.03656694233491154			0.07296767129557348
NP_001263206	123.0	651.0	13.0	32.0	0.036408334102729166			0.07281666820545833
NP_001264	245.0	1357.0	21.0	64.0	0.03094826708030796			0.0648848299518493
NP_001265138	303.0	1526.0	12.0	41.0	0.2610764736758296			0.3114472063687206
NP_001265309	13.0	76.0	5.0	6.0	0.025181237611776458			0.056690068264460845
NP_001265389	294.0	1514.0	10.0	30.0	0.13577430878677021			0.18802814371417076
NP_001265393	22.0	123.0	5.0	3.0	0.004645430670300639			0.018372469047405228
NP_001265598	78.0	411.0	5.0	9.0	0.0637896790460587			0.1087521130144457
NP_001265612	69.0	410.0	6.0	22.0	0.28173095559516703			0.32806336739065867
NP_001367	33.0	204.0	4.0	12.0	0.2645639259531951			0.3139015229552774
NP_001370	85.0	482.0	9.0	11.0	0.0017500908431537184			0.009485060248697313
NP_001371	75.0	384.0	5.0	7.0	0.03709627296618618			0.07385607180115979
NP_001408	180.0	996.0	18.0	42.0	0.005747327290193986			0.02051281853979805
NP_001422	210.0	1122.0	10.0	30.0	0.12542566968931665			0.1767636243775602
NP_001524	41.0	229.0	9.0	20.0	0.037819903810656016			0.07478800798593689
NP_001531	121.0	651.0	7.0	19.0	0.16726178499838487			0.21796624176805687
NP_001640	208.0	1204.0	31.0	66.0	3.833189422684258e-05			0.0007011542318993289
NP_001645	103.0	576.0	12.0	21.0	0.0031382141275766223			0.013663216059370242
NP_001737	45.0	240.0	7.0	9.0	0.010118247758712026			0.03150291323457148
NP_001790	32.0	176.0	5.0	8.0	0.04666888447998761			0.0868120351131973
NP_001810	62.0	253.0	5.0	7.0	0.07542816350012828			0.12241391414623407
NP_001871	85.0	420.0	5.0	23.0	0.7994923564008265			0.80963585803913
NP_001894	178.0	958.0	13.0	31.0	0.020737541074269054			0.04991702554826206
NP_001895	62.0	358.0	6.0	21.0	0.27578301027624086			0.3232810187216815
NP_001896	33.0	187.0	4.0	8.0	0.10476958170575423			0.15591134362313935
NP_001931	133.0	751.0	22.0	48.0	0.0010730867208800672			0.006682057737111341
NP_001934	94.0	554.0	13.0	11.0	1.1578683052223112e-05			0.000299002462348585
NP_001950	71.0	363.0	4.0	17.0	0.7627271573897154			0.779597723152701
NP_001952	74.0	432.0	9.0	20.0	0.030282206425831376			0.06375965765438836
NP_001972	181.0	1027.0	11.0	39.0	0.22506725172941103			0.2768519144274924
NP_001978	208.0	1022.0	15.0	42.0	0.07370087218981539			0.12117858760797362
NP_002056	31.0	192.0	5.0	6.0	0.015170180491049349			0.0405112881767064
NP_002087	154.0	806.0	15.0	28.0	0.0029427740519113537			0.013250028808093173
NP_002094	58.0	347.0	5.0	8.0	0.032436923928883074			0.06732770498713792
NP_002105	198.0	1039.0	11.0	29.0	0.0779935327358628			0.12485466736870139
NP_002130	192.0	1122.0	19.0	46.0	0.003896297927670115			0.01597607644192583
NP_002154	14.0	76.0	4.0	2.0	0.010653218346214775			0.03224760952401786
NP_002264	299.0	1557.0	9.0	38.0	0.5488801178691782			0.5778378219294226
NP_002267	216.0	1147.0	6.0	27.0	0.635466393414615			0.6571725481955618
NP_002347	168.0	997.0	19.0	34.0	0.00013873159011697063			0.0016685799468863043
NP_002365	259.0	1503.0	18.0	30.0	0.00011569672178029356			0.0014511674531871106
NP_002366	467.0	2478.0	34.0	123.0	0.05859443297828702			0.10289182430987201
NP_002388	49.0	273.0	6.0	13.0	0.09861699543011732			0.14895339894242687
NP_002464	174.0	987.0	14.0	35.0	0.015180197961430986			0.0405112881767064
NP_002471	177.0	943.0	9.0	24.0	0.09075074491275195			0.14003366262459793
NP_002473	146.0	759.0	12.0	29.0	0.050341961095743334			0.09197716015193065
NP_002511	153.0	784.0	7.0	28.0	0.4949088008879923			0.5292690952249174
NP_002529	50.0	322.0	5.0	11.0	0.06061945722387868			0.10477142409953835
NP_002577	27.0	150.0	5.0	5.0	0.014521143257274613			0.03984238681214722
NP_002638	12.0	78.0	4.0	2.0	0.0065893524357281165			0.022541841961832784
NP_002758	46.0	256.0	6.0	14.0	0.10968687125730091			0.16080565043827522
NP_002818	43.0	301.0	5.0	3.0	0.0015803537214728542			0.00878196561679219
NP_002826	181.0	1053.0	21.0	58.0	0.009040556376236068			0.028552548555162833
NP_002861	11.0	66.0	4.0	3.0	0.01742288697860292			0.04446888013724815
NP_002883	69.0	366.0	6.0	15.0	0.13333783411093922			0.1855318832795636
NP_002895	86.0	487.0	9.0	12.0	0.0026395826081545724			0.012327412393402737
NP_002922	64.0	314.0	4.0	9.0	0.25383390046199367			0.30487847415270924
NP_002964	192.0	1009.0	12.0	41.0	0.18768928835620866			0.24022040113229037
NP_003007	111.0	608.0	18.0	40.0	0.004991122175312335			0.01908984401276641
NP_003015	153.0	805.0	10.0	28.0	0.11379064138909697			0.16522629889786947
NP_003061	84.0	484.0	17.0	25.0	0.0001063337417883668			0.0014067440232881981
NP_003066	92.0	500.0	12.0	21.0	0.006032122401782429			0.021184813875059893
NP_003077	28.0	206.0	5.0	6.0	0.008403720858465928			0.02712671659460693
NP_003080	47.0	257.0	6.0	14.0	0.11296355758225474			0.16448093458908733
NP_003091	58.0	338.0	8.0	11.0	0.004792148513882821			0.018617284934465118
NP_003119	266.0	1515.0	23.0	43.0	8.32244348349266e-05			0.0011978861276240255
NP_003127	24.0	129.0	4.0	5.0	0.04888376878843058			0.09035778736050958
NP_003137	83.0	426.0	4.0	11.0	0.2901481210309795			0.3360818605081794
NP_003147	127.0	701.0	12.0	24.0	0.008728978394936396			0.027768271850558534
NP_003177	51.0	306.0	7.0	6.0	0.0013199144790756864			0.0075744111936500175
NP_003194	42.0	228.0	5.0	16.0	0.3530381184189549			0.3962986630860109
NP_003248	365.0	1904.0	24.0	57.0	0.003294670980580294			0.014150710789540324
NP_003283	169.0	898.0	5.0	26.0	1.0			1.0
NP_003361	67.0	334.0	5.0	15.0	0.3590804499835786			0.3995891213650813
NP_003371	391.0	2159.0	16.0	59.0	0.19291719006370522			0.24548013460280171
