	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_056193	1214.0	136.0	54.0	2.0	0.1637414172015004		0.8594358969143017	
NP_056261	950.0	95.0	34.0	1.0	0.35849845043357326		0.9963139699752426	
NP_056390	979.0	96.0	32.0	2.0	0.7617551687845594		1.0	
NP_056450	872.0	83.0	39.0	2.0	0.5704361269951879		1.0	
NP_056969	870.0	87.0	55.0	2.0	0.2238536634248563		0.8594358969143017	
NP_057269	645.0	71.0	32.0	0.0	0.06329941761366617		0.7261487745839428	
NP_057332	1476.0	147.0	50.0	3.0	0.6217946026271914		1.0	
NP_057417	9940.0	967.0	594.0	46.0	0.1508683112206723		0.8594358969143017	
NP_060110	1274.0	121.0	44.0	4.0	1.0		1.0	
NP_060414	558.0	51.0	45.0	4.0	1.0		1.0	
NP_060439	1071.0	99.0	71.0	4.0	0.5138175261918292		1.0	
NP_060537	1956.0	189.0	106.0	8.0	0.610985905898555		1.0	
NP_060731	619.0	64.0	33.0	1.0	0.3531387917505766		0.9963139699752426	
NP_060783	875.0	86.0	44.0	2.0	0.42185030099503446		1.0	
NP_062536	2609.0	265.0	80.0	5.0	0.44134989903669125		1.0	
NP_065176	2031.0	215.0	53.0	2.0	0.1640084001540997		0.8594358969143017	
NP_065770	1377.0	136.0	52.0	5.0	1.0		1.0	
NP_065805	1377.0	132.0	65.0	6.0	1.0		1.0	
NP_065899	2586.0	266.0	68.0	5.0	0.6807708857444468		1.0	
NP_065910	1888.0	193.0	68.0	1.0	0.017839836921647693		0.360547396912692	
NP_067051	1259.0	124.0	74.0	2.0	0.05769105462432061		0.7261487745839428	
NP_067643	1311.0	137.0	49.0	4.0	0.8123074870420096		1.0	
NP_073568	1047.0	103.0	61.0	5.0	1.0		1.0	
NP_073605	909.0	83.0	67.0	5.0	0.8262745522647422		1.0	
NP_073752	562.0	49.0	37.0	2.0	0.7598518945169711		1.0	
NP_078772	879.0	81.0	57.0	2.0	0.22184575313841653		0.8594358969143017	
NP_079410	388.0	43.0	31.0	2.0	0.7586519531810074		1.0	
NP_112604	482.0	47.0	42.0	3.0	0.786905241704043		1.0	
NP_114128	1456.0	145.0	57.0	3.0	0.36020581991412615		0.9963139699752426	
NP_115593	1135.0	115.0	49.0	2.0	0.31304725052195914		0.9586089450366044	
NP_116114	987.0	103.0	90.0	0.0	0.0003129586050572115		0.04068461865743749	
NP_150241	1379.0	134.0	51.0	3.0	0.6210935142051501		1.0	
NP_203744	962.0	89.0	39.0	2.0	0.5711214428624392		1.0	
NP_203754	5183.0	541.0	159.0	15.0	0.7932615175416661		1.0	
NP_542417	2136.0	208.0	85.0	8.0	1.0		1.0	
NP_597677	1429.0	137.0	67.0	6.0	1.0		1.0	
NP_612429	2429.0	288.0	54.0	0.0	0.0052406942964215095		0.17032256463369905	
NP_620147	774.0	66.0	44.0	2.0	0.5704699254414349		1.0	
NP_620305	1501.0	138.0	59.0	4.0	0.8151589548628675		1.0	
NP_653205	788.0	74.0	52.0	4.0	1.0		1.0	
NP_663719	1012.0	110.0	39.0	1.0	0.16912241167879266		0.8594358969143017	
NP_683692	1522.0	148.0	72.0	6.0	1.0		1.0	
NP_733751	1226.0	130.0	69.0	3.0	0.14613205206561145		0.8594358969143017	
NP_778228	1159.0	125.0	44.0	3.0	0.6157394357165479		1.0	
NP_892017	1155.0	119.0	51.0	2.0	0.22394006406949846		0.8594358969143017	
NP_898868	1374.0	142.0	57.0	4.0	0.6510941146093319		1.0	
NP_982284	1159.0	112.0	30.0	2.0	1.0		1.0	
NP_991403	915.0	98.0	35.0	1.0	0.244608678352532		0.8594358969143017	
NP_996744	1499.0	152.0	35.0	0.0	0.06807167173620689		0.7261487745839428	
NP_997006	1154.0	118.0	31.0	3.0	1.0		1.0	
NP_000312	805.0	81.0	14.0	4.0		0.08019711037580622		0.19501116989508605
NP_000480	2335.0	221.0	102.0	14.0		0.23744742439825006		0.3655961154037652
NP_001002814	1189.0	108.0	43.0	7.0		0.1891738377804743		0.320744569247171
NP_001003408	1327.0	129.0	17.0	9.0		0.00032095048666744915		0.01965821730838126
NP_001003694	452.0	42.0	29.0	3.0		0.7477316048006803		0.7947693538775408
NP_001005743	625.0	62.0	18.0	6.0		0.020631056378102877		0.10530435026323344
NP_001011713	367.0	34.0	13.0	3.0		0.16102468843314205		0.2922299901194059
NP_001012768	604.0	57.0	22.0	4.0		0.27735216834933385		0.41058175979206524
NP_001013012	304.0	26.0	8.0	5.0		0.0033470713845130456		0.052905321884238465
NP_001014308	353.0	29.0	10.0	3.0		0.07907748598208987		0.19501116989508605
NP_001014972	979.0	92.0	52.0	5.0		1.0		1.0
NP_001017915	714.0	71.0	19.0	4.0		0.25982564182091594		0.3929461867044717
NP_001017963	448.0	47.0	20.0	4.0		0.2802531469532885		0.41137357324462676
NP_001017995	647.0	69.0	10.0	3.0		0.12853006145708093		0.25765416805044106
NP_001019845	122.0	9.0	6.0	3.0		0.030438516127591252		0.11561916978697452
NP_001026892	178.0	13.0	6.0	3.0		0.026403237927705228		0.11066377024236934
NP_001027454	1148.0	110.0	40.0	7.0		0.185041245132925		0.3170287066962701
NP_001032221	142.0	9.0	7.0	3.0		0.02843717024580714		0.11328628797110162
NP_001032242	1456.0	144.0	46.0	13.0		0.0025204363759257875		0.04299593355925138
NP_001034966	282.0	24.0	13.0	4.0		0.0489247294488063		0.148901350496367
NP_001036068	458.0	45.0	19.0	3.0		0.4417410513545779		0.5397833295853944
