	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_056079	248.0	558.0	11.0	18.0	0.41823629476561347			0.5761135715976662
NP_056093	463.0	1088.0	9.0	21.0	1.0			1.0
NP_056123	154.0	381.0	14.0	10.0	0.004852637561792836			0.04295100480225149
NP_056145	297.0	697.0	14.0	21.0	0.19599714503944726			0.3792316852856282
NP_056171	714.0	1570.0	20.0	33.0	0.3688036794619366			0.5406520895280063
NP_056181	92.0	219.0	10.0	19.0	0.6720308454545902			0.7701510515402467
NP_056182	160.0	374.0	10.0	13.0	0.17200186658902494			0.3559839626917133
NP_056193	430.0	920.0	18.0	38.0	1.0			1.0
NP_056258	160.0	347.0	11.0	14.0	0.19539516611464502			0.3792316852856282
NP_056261	308.0	737.0	15.0	20.0	0.09384813926925101			0.2620189660134793
NP_056262	322.0	717.0	14.0	27.0	0.731150559661421			0.8176307333848147
NP_056272	391.0	889.0	18.0	18.0	0.017040277443887367			0.09710623858434445
NP_056285	503.0	1117.0	10.0	17.0	0.531801119073734			0.6643521487527728
NP_056371	770.0	1688.0	42.0	71.0	0.21400582606295177			0.39468311667154743
NP_056390	330.0	745.0	12.0	22.0	0.5743784272758894			0.6940446225695107
NP_056393	190.0	451.0	14.0	13.0	0.018654908773480645			0.09844709769673689
NP_056464	202.0	448.0	11.0	22.0	0.847583041983087			0.9041378183436841
NP_056969	302.0	655.0	19.0	38.0	0.7709541649042848			0.8529705654260172
NP_056986	241.0	546.0	14.0	15.0	0.06399579758070059			0.20982421458664102
NP_056988	301.0	725.0	17.0	24.0	0.11611113587810132			0.2945258080810375
NP_057085	50.0	119.0	10.0	7.0	0.026135828648319398			0.12216297435618954
NP_057114	103.0	225.0	9.0	16.0	0.6585487196730437			0.7596650452443445
NP_057269	212.0	504.0	16.0	16.0	0.018330371614352175			0.09844709769673689
NP_057332	500.0	1123.0	23.0	30.0	0.06931390369625645			0.217426289033082
NP_057336	191.0	440.0	9.0	19.0	0.8352230772500477			0.9019124895477649
NP_057377	320.0	732.0	20.0	20.0	0.013722912403137439			0.08395193470154667
NP_057404	449.0	1042.0	21.0	38.0	0.3872353601386431			0.5516777733482039
NP_057417	3386.0	7521.0	230.0	410.0	0.010923276989226167			0.07537754230596065
NP_057427	304.0	758.0	24.0	8.0	1.2437177750410537e-07			5.1738659441707835e-05
NP_057562	296.0	670.0	18.0	33.0	0.5341026054354215			0.6652295923986089
NP_057591	477.0	1103.0	27.0	32.0	0.014170560101148014			0.08543410147938513
NP_057671	76.0	187.0	15.0	10.0	0.002696213899102391			0.0366707347747557
NP_058632	125.0	279.0	8.0	10.0	0.2984609213805282			0.4849989972433583
NP_059995	129.0	324.0	8.0	6.0	0.03278430399528736			0.1420653173129119
NP_060110	430.0	965.0	18.0	30.0	0.3425427936149694			0.5242323891953701
NP_060130	182.0	421.0	12.0	22.0	0.5667387004170231			0.6893663724370808
NP_060254	229.0	478.0	12.0	21.0	0.7043538948742409			0.7919222169396871
NP_060418	145.0	320.0	12.0	13.0	0.12109554588718459			0.30025994801589084
NP_060439	346.0	824.0	36.0	39.0	0.0011748865402222675			0.024437640036623166
NP_060493	220.0	477.0	13.0	17.0	0.2293371337151586			0.41480107663263466
NP_060498	254.0	568.0	12.0	18.0	0.3174319523850713			0.5025128316629057
NP_060537	660.0	1485.0	40.0	74.0	0.34987862703558903			0.5260012441688648
NP_060621	462.0	1082.0	24.0	28.0	0.02042872554542676			0.10363841252314064
NP_060649	295.0	666.0	21.0	27.0	0.07798404902324965			0.23679828024577995
NP_060679	287.0	635.0	11.0	13.0	0.17947853335098599			0.36599544055887334
NP_060700	157.0	357.0	8.0	11.0	0.31488532778926687			0.5018861929514751
NP_060719	129.0	306.0	7.0	8.0	0.16335326414043747			0.3504661854098575
NP_060733	310.0	671.0	20.0	31.0	0.28150884817765454			0.4628762088612818
NP_060783	295.0	666.0	15.0	31.0	0.7469459116699			0.8302154838017435
NP_060823	167.0	410.0	11.0	3.0	0.00021538879750406404			0.006892441520130049
NP_061155	214.0	492.0	13.0	10.0	0.011052956924672116			0.07537754230596065
NP_061173	382.0	866.0	25.0	32.0	0.04054397680200129			0.16217590720800515
NP_061174	261.0	584.0	9.0	12.0	0.24171589302620317			0.4278885595697894
NP_061322	416.0	949.0	24.0	47.0	0.5975805999159888			0.7123023769772244
NP_061330	230.0	510.0	11.0	11.0	0.06619589206967286			0.2102098557327016
NP_061830	180.0	410.0	14.0	14.0	0.03704265659144193			0.15409745142039843
NP_061936	340.0	787.0	15.0	17.0	0.05168623918767883			0.18377329488952474
NP_062552	235.0	540.0	22.0	33.0	0.13436753565008358			0.30822151324084013
NP_062565	430.0	990.0	26.0	18.0	0.00010567986002667336			0.006023667666642596
NP_062817	380.0	930.0	23.0	22.0	0.0024655519406503097			0.03663105740394746
NP_064578	219.0	500.0	10.0	14.0	0.2636375599674694			0.44764581610802967
NP_065069	228.0	518.0	11.0	10.0	0.05257458390288791			0.18534768562374043
NP_065741	198.0	455.0	12.0	13.0	0.07673013717214126			0.23470394899713798
NP_065749	45.0	132.0	10.0	8.0	0.011672743840088196			0.07587283496057327
NP_065770	460.0	1053.0	25.0	32.0	0.03999713375687132			0.1621401232149721
NP_065813	185.0	405.0	10.0	14.0	0.3703986671045235			0.5406520895280063
NP_065816	274.0	621.0	16.0	32.0	0.7483913616001294			0.8302154838017435
NP_065823	259.0	598.0	17.0	24.0	0.16436385318478483			0.3504661854098575
NP_065859	359.0	838.0	11.0	16.0	0.2881409469849098			0.47006523115969595
NP_065875	490.0	1077.0	22.0	28.0	0.06405691166467166			0.20982421458664102
NP_065883	481.0	1109.0	30.0	39.0	0.023430641049475957			0.11467231384214116
NP_065897	351.0	763.0	12.0	25.0	0.8596234102816711			0.9041378183436841
NP_065905	244.0	561.0	12.0	10.0	0.019730074684358785			0.1020339604195523
NP_065939	757.0	1655.0	32.0	61.0	0.5697359806624156			0.6909917433106848
NP_065953	643.0	1401.0	22.0	35.0	0.25131706201650417			0.4411303704593491
NP_065997	205.0	440.0	13.0	22.0	0.577258267810218			0.6940446225695107
NP_066576	182.0	402.0	10.0	18.0	0.6773524139439822			0.7732616459887244
NP_067051	424.0	959.0	30.0	46.0	0.12609322156511288			0.30320682179819053
NP_067643	439.0	1009.0	19.0	34.0	0.44749265373688774			0.5966579527893403
NP_067652	129.0	274.0	9.0	14.0	0.49646337219318365			0.6366987738576176
NP_071349	217.0	488.0	13.0	21.0	0.34971141597438393			0.5260012441688648
NP_071741	76.0	194.0	8.0	2.0	0.0013088142693440893			0.024649897191341336
NP_071918	235.0	570.0	19.0	14.0	0.0014671431396344812			0.025430481086997674
NP_071934	296.0	663.0	12.0	13.0	0.08068775094975528			0.23880549363145437
NP_073153	145.0	358.0	13.0	11.0	0.011660703816079646			0.07587283496057327
NP_073568	357.0	793.0	22.0	44.0	0.6838372256796266			0.7751397435496585
NP_073589	73.0	185.0	11.0	11.0	0.04986594436689829			0.17882959359163525
NP_073605	311.0	681.0	26.0	46.0	0.4316241997640243			0.588707105251915
NP_073613	167.0	345.0	11.0	17.0	0.5362041553524529			0.6658535182884191
