	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_056224	243.0	512.0	6.0	27.0		0.12437426389740724	0.5162291735040091	
NP_056364	446.0	997.0	16.0	38.0		1.0	1.0	
NP_056450	301.0	654.0	12.0	29.0		0.8643610313666106	1.0	
NP_057541	259.0	582.0	10.0	28.0		0.7191173842015658	1.0	
NP_057572	185.0	396.0	12.0	32.0		0.6153534965172283	0.9817999607353529	
NP_058519	822.0	1711.0	2.0	46.0		2.8843446287895543e-06	0.00040957693728811673	
NP_059990	223.0	498.0	15.0	39.0		0.7598934808429485	1.0	
NP_060275	190.0	414.0	6.0	21.0		0.397375953906837	0.90436385420385	
NP_060395	693.0	1514.0	20.0	76.0		0.031644607226033794	0.2808458891310499	
NP_060414	198.0	411.0	12.0	37.0		0.26924089670823004	0.7080038394920124	
NP_060551	133.0	296.0	9.0	21.0		1.0	1.0	
NP_060644	504.0	1101.0	16.0	47.0		0.33570749524516297	0.8363239355230376	
NP_060731	216.0	467.0	9.0	25.0		0.5764652949563897	0.9797433096424105	
NP_060813	152.0	341.0	6.0	18.0		0.6538702646007915	1.0	
NP_060873	286.0	636.0	11.0	25.0		1.0	1.0	
NP_061857	265.0	584.0	7.0	22.0		0.5411998908621052	0.9653802560082839	
NP_062536	889.0	1985.0	19.0	66.0		0.09571534730024085	0.4655864770039999	
NP_064504	429.0	997.0	9.0	25.0		0.7096549597245416	1.0	
NP_065176	714.0	1532.0	15.0	40.0		0.5583300075364136	0.9775852133928469	
NP_065805	471.0	1038.0	21.0	50.0		0.8957367232650014	1.0	
NP_065899	914.0	1938.0	15.0	58.0		0.04112906772127492	0.32446264535672437	
NP_065910	655.0	1426.0	14.0	55.0		0.04818588337098457	0.3421197719339904	
NP_065952	451.0	993.0	20.0	48.0		0.7905448286423407	1.0	
NP_066997	277.0	604.0	11.0	28.0		0.7277313706652953	1.0	
NP_068506	676.0	1510.0	17.0	40.0		1.0	1.0	
NP_071895	181.0	362.0	5.0	20.0		0.1954544178788434	0.6333127101869226	
NP_072174	1629.0	3568.0	36.0	110.0		0.10248327972124974	0.4655864770039999	
NP_073585	527.0	1127.0	19.0	49.0		0.5950303367126768	0.9817999607353529	
NP_073752	187.0	424.0	10.0	29.0		0.592636264089059	0.9817999607353529	
NP_075463	299.0	630.0	8.0	18.0		1.0	1.0	
NP_076916	286.0	619.0	10.0	33.0		0.3126570666574134	0.7928089904527268	
NP_078779	294.0	604.0	7.0	34.0		0.03943116089689461	0.32446264535672437	
NP_079031	305.0	661.0	15.0	39.0		0.6520270732489302	1.0	
NP_079052	419.0	904.0	11.0	30.0		0.609940628735151	0.9817999607353529	
NP_079223	238.0	540.0	4.0	22.0		0.1272395850185938	0.5162291735040091	
NP_079440	239.0	514.0	7.0	22.0		0.5410975536038894	0.9653802560082839	
NP_079524	486.0	991.0	14.0	30.0		1.0	1.0	
NP_114032	168.0	385.0	11.0	29.0		0.8586457811595485	1.0	
NP_114129	225.0	463.0	6.0	37.0		0.010449470718651342	0.18347626937461753	
NP_115543	192.0	425.0	6.0	25.0		0.22976333243482167	0.6561291328415516	
NP_115812	949.0	2098.0	33.0	73.0		1.0	1.0	
NP_149072	355.0	782.0	13.0	31.0		0.8698679939692944	1.0	
NP_543023	278.0	614.0	7.0	21.0		0.5416489788447241	0.9653802560082839	
NP_597734	827.0	1737.0	12.0	56.0		0.01162877763641942	0.18347626937461753	
NP_612429	902.0	1815.0	8.0	46.0		0.003269531404551663	0.11606836486158403	
NP_620137	323.0	728.0	12.0	37.0		0.42812611049005017	0.9073717565610018	
NP_722549	242.0	504.0	12.0	35.0		0.42033812941869086	0.90436385420385	
NP_733751	440.0	916.0	14.0	58.0		0.019609048285626214	0.253134986959902	
NP_733821	891.0	1948.0	21.0	85.0		0.010214052303332426	0.18347626937461753	
NP_821074	213.0	461.0	5.0	24.0		0.14928557463368564	0.5888486554995378	
NP_919254	350.0	752.0	12.0	26.0		1.0	1.0	
NP_958782	835.0	1830.0	35.0	82.0		0.838612622221786	1.0	
NP_976324	308.0	697.0	15.0	36.0		1.0	1.0	
NP_997006	407.0	865.0	4.0	30.0		0.013582168420932784	0.1928667915772455	
NP_998725	133.0	288.0	7.0	26.0		0.24533774898859315	0.6573200067241551	
XP_003846661	416.0	914.0	16.0	39.0		0.8820112737903396	1.0	
XP_003960677	247.0	521.0	5.0	24.0		0.1049208962262535	0.4655864770039999	
NP_000170	206.0	493.0	10.0	15.0	0.2699797415709093			0.4528692439253963
NP_000415	440.0	1004.0	9.0	17.0	0.6695709885744177			0.7694517437761264
NP_000928	506.0	1128.0	29.0	47.0	0.2056484352294351			0.38710293690246605
NP_000995	163.0	380.0	10.0	9.0	0.04401521389505642			0.16798466954443553
NP_001002814	391.0	906.0	21.0	29.0	0.08518916467159533			0.24315578210194455
NP_001003694	154.0	340.0	11.0	21.0	0.697617920671285			0.7864744037920177
NP_001003698	344.0	805.0	25.0	25.0	0.004347790562620573			0.041106383501139966
NP_001006635	163.0	376.0	11.0	19.0	0.5414172308800775			0.6683369971694726
NP_001013649	379.0	853.0	10.0	14.0	0.26839256218489504			0.4520295784166653
NP_001014972	346.0	725.0	21.0	36.0	0.4713963139034345			0.6166693917730464
NP_001015055	197.0	438.0	12.0	14.0	0.13070520630160176			0.30762800816627667
NP_001018077	217.0	510.0	15.0	18.0	0.0798653534121447			0.23880549363145437
NP_001025053	375.0	850.0	19.0	24.0	0.06573939939818481			0.2102098557327016
NP_001025055	253.0	605.0	12.0	7.0	0.003716616289757898			0.04068716780366541
NP_001032242	477.0	1123.0	31.0	28.0	0.00044025909178556377			0.011446736386424659
NP_001032622	200.0	448.0	11.0	19.0	0.5462573218061717			0.6683618996216689
NP_001032895	179.0	421.0	9.0	14.0	0.3583144010334668			0.5342608990319792
NP_001034558	337.0	748.0	23.0	27.0	0.030003307709083354			0.13138290533661764
NP_001035784	195.0	509.0	13.0	4.0	5.328737121053979e-05			0.006023667666642596
NP_001035905	490.0	1064.0	19.0	32.0	0.4444551538368716			0.5966579527893403
NP_001036068	157.0	346.0	10.0	12.0	0.1668374441783687			0.3504661854098575
NP_001059	532.0	1182.0	19.0	33.0	0.44749346459200523			0.5966579527893403
NP_001070819	36.0	93.0	8.0	3.0	0.004248269013391314			0.041099532780715965
NP_001073860	372.0	885.0	13.0	17.0	0.1097589541065766			0.28716808118450227
NP_001073883	275.0	583.0	12.0	23.0	0.8537433423838657			0.9041378183436841
NP_001073922	161.0	361.0	8.0	15.0	0.6527362802420114			0.7581935603445601
NP_001073986	170.0	402.0	16.0	15.0	0.015352120829118101			0.0899504544353962
NP_001077430	113.0	272.0	12.0	6.0	0.0026133152240796573			0.0366707347747557
NP_001078927	784.0	1852.0	53.0	57.0	7.728582731170881e-05			0.006023667666642596
NP_001092885	252.0	554.0	13.0	21.0	0.4512111388346491			0.5980264063824401
NP_001099008	152.0	360.0	13.0	8.0	0.0031232993244394297			0.03712264339905151
NP_001104026	1038.0	2313.0	30.0	54.0	0.3427673313969728			0.5242323891953701
NP_001106963	295.0	703.0	15.0	30.0	0.6177763273818719			0.7300992959967578
NP_001119522	201.0	474.0	14.0	19.0	0.125446346433609			0.30320682179819053
NP_001120982	501.0	1069.0	27.0	45.0	0.3662579187722861			0.5406520895280063
NP_001123476	109.0	268.0	9.0	5.0	0.013502020935818837			0.08383344342239755
NP_001123917	893.0	1949.0	36.0	34.0	0.0006478032171176563			0.01497145212894139
NP_001123999	517.0	1158.0	20.0	34.0	0.37011971615001615			0.5406520895280063
NP_001128342	273.0	614.0	14.0	18.0	0.1241744785969463			0.3026988130189817
NP_001128716	512.0	1120.0	35.0	49.0	0.05464556693182185			0.18767583564591264
NP_001129119	179.0	409.0	13.0	20.0	0.33273238035015734			0.5126543341691313
NP_001129487	363.0	813.0	9.0	15.0	0.506801983537736			0.6408195293364686
NP_001135441	214.0	480.0	10.0	17.0	0.5268731701320148			0.6601784300449343
NP_001136113	122.0	282.0	7.0	9.0	0.2734878302917321			0.45508374960544223
NP_001137532	240.0	591.0	14.0	12.0	0.008673286931654018			0.06848988848964094
NP_001138678	539.0	1208.0	23.0	24.0	0.010620511483380087			0.07537222062064183
NP_001138829	177.0	398.0	16.0	28.0	0.4995908952795508			0.6366987738576176
NP_001138926	170.0	400.0	8.0	7.0	0.0829360636074811			0.24296762296276153
NP_001153575	245.0	563.0	10.0	13.0	0.17698630727604964			0.3635385427873321
NP_001155856	469.0	1069.0	14.0	28.0	0.7347400391187184			0.8194419739232892
NP_001155973	225.0	527.0	12.0	15.0	0.1346406949300738			0.30822151324084013
NP_001156793	142.0	329.0	14.0	4.0	6.184399654078346e-05			0.006023667666642596
NP_001157745	394.0	864.0	26.0	47.0	0.43945495019025826			0.5944561265234936
NP_001157789	811.0	1836.0	26.0	39.0	0.13391005587252058			0.30822151324084013
NP_001157852	173.0	414.0	14.0	5.0	0.00011872180243494518			0.006023667666642596
NP_001164100	273.0	627.0	15.0	27.0	0.4939487405179042			0.6366987738576176
NP_001167558	181.0	413.0	10.0	14.0	0.26310078665040365			0.44764581610802967
NP_001167587	222.0	523.0	12.0	16.0	0.1463977800156467			0.3291971701973461
NP_001171894	391.0	860.0	15.0	31.0	0.8718288695711196			0.9076162964429654
NP_001171914	479.0	1057.0	23.0	42.0	0.495834887771415			0.6366987738576176
NP_001180345	215.0	505.0	15.0	17.0	0.04970653217949386			0.17882959359163525
NP_001181875	272.0	614.0	10.0	16.0	0.39555186206793813			0.5559107250684536
NP_001184033	254.0	565.0	17.0	25.0	0.23260888289394782			0.417091790016734
NP_001186308	309.0	685.0	19.0	35.0	0.5478953110951121			0.6684001449136852
NP_001186346	207.0	450.0	11.0	17.0	0.41010199478623155			0.5724913752720547
NP_001191332	392.0	855.0	20.0	22.0	0.04189661609882462			0.16442445563312302
NP_001191397	258.0	611.0	17.0	29.0	0.32265569908179137			0.5027144974457873
NP_001191676	179.0	400.0	9.0	11.0	0.22011787525498014			0.4016185794125953
NP_001193928	87.0	203.0	7.0	10.0	0.4164393197928318			0.5755440433017209
NP_001193937	666.0	1500.0	29.0	53.0	0.3946618545715824			0.5559107250684536
NP_001193946	179.0	419.0	8.0	8.0	0.10035820609633574			0.27109749179269915
NP_001230685	351.0	812.0	16.0	20.0	0.09638849643552336			0.2641494802162589
NP_001238759	432.0	977.0	17.0	22.0	0.11252242467100815			0.29074117182074155
NP_001243111	257.0	600.0	11.0	23.0	0.8489269922353304			0.9041378183436841
NP_001243399	331.0	712.0	8.0	17.0	1.0			1.0
NP_001244119	59.0	148.0	7.0	6.0	0.06492989844718554			0.2102098557327016
NP_001245244	117.0	273.0	8.0	6.0	0.04014527089216857			0.1621401232149721
NP_001245303	462.0	1032.0	14.0	26.0	0.6047867555234676			0.7170052159898364
NP_001258898	258.0	634.0	15.0	17.0	0.0462248544381313			0.17481399496602382
NP_001258928	491.0	1094.0	24.0	44.0	0.5037912452142791			0.6389547500278662
NP_001264	484.0	1125.0	40.0	38.0	0.0001447997035250624			0.006023667666642596
NP_001265138	562.0	1270.0	16.0	34.0	0.8767766334909944			0.9095737644195853
NP_001303	184.0	400.0	10.0	13.0	0.25601720548944473			0.4419218152846847
NP_001334	244.0	537.0	10.0	18.0	0.6791856753775287			0.7732616459887244
NP_001408	367.0	811.0	21.0	37.0	0.4687282678865921			0.6151134367218369
NP_001420	202.0	457.0	13.0	22.0	0.45418591852384377			0.599813784463235
NP_001446	259.0	595.0	10.0	16.0	0.3908941686232421			0.5549896728575724
NP_001460	137.0	319.0	10.0	10.0	0.08094128510104584			0.23880549363145437
NP_001509	256.0	590.0	9.0	11.0	0.2172408198141038			0.3981153349897233
NP_001511	258.0	565.0	19.0	37.0	0.6592285608971354			0.7596650452443445
NP_001512	175.0	403.0	11.0	14.0	0.1831343116915752			0.3715234495817574
NP_001605	298.0	674.0	17.0	31.0	0.5227218974085553			0.6569556172868852
NP_001615	391.0	970.0	20.0	25.0	0.029480933361626837			0.13046881147273154
NP_001745	194.0	436.0	10.0	15.0	0.37889540274402794			0.5477230016436372
NP_001803	212.0	478.0	9.0	13.0	0.35024602075667205			0.5260012441688648
NP_001931	272.0	613.0	24.0	45.0	0.5004819688736561			0.6366987738576176
NP_001972	372.0	841.0	14.0	31.0	1.0			1.0
NP_001978	361.0	868.0	22.0	36.0	0.18561590340972725			0.3715234495817574
NP_002105	380.0	859.0	15.0	23.0	0.2848022118734505			0.4664477170840764
NP_002130	413.0	904.0	24.0	38.0	0.26337283422768176			0.44764581610802967
NP_002145	146.0	330.0	7.0	7.0	0.14576521718131563			0.3291971701973461
NP_002151	138.0	328.0	9.0	20.0	0.8368707234746088			0.9019124895477649
NP_002212	278.0	632.0	16.0	15.0	0.01735814615580279			0.0975809297407292
NP_002347	366.0	804.0	19.0	29.0	0.26700512931159903			0.45152086907977723
NP_002364	1018.0	2251.0	26.0	51.0	0.6201333631775855			0.7308087226115455
NP_002366	908.0	2048.0	46.0	100.0	0.8543901427273808			0.9041378183436841
NP_002408	564.0	1400.0	21.0	20.0	0.0028208257519042844			0.0366707347747557
NP_002410	187.0	428.0	9.0	12.0	0.2349156317081206			0.4194201836505501
NP_002435	149.0	353.0	8.0	10.0	0.19575172082878925			0.3792316852856282
NP_002473	275.0	633.0	15.0	23.0	0.280433289143447			0.4628762088612818
NP_002516	70.0	161.0	10.0	8.0	0.0358989453357341			0.15084809353197362
NP_002523	96.0	241.0	10.0	12.0	0.09693058080117978			0.2641494802162589
NP_002678	269.0	612.0	11.0	19.0	0.5462412905477531			0.6683618996216689
NP_002799	64.0	160.0	9.0	9.0	0.06562489189650779			0.2102098557327016
NP_002964	369.0	841.0	19.0	25.0	0.09543385536199553			0.2641494802162589
NP_003007	213.0	506.0	26.0	32.0	0.018282946654413643			0.09844709769673689
NP_003103	88.0	202.0	8.0	6.0	0.04299704721269447			0.16716609009795233
NP_003283	332.0	740.0	15.0	11.0	0.008725875216228293			0.06848988848964094
NP_003371	791.0	1763.0	25.0	46.0	0.4381385425971326			0.5944561265234936
NP_003381	109.0	264.0	9.0	16.0	0.5001114326539216			0.6366987738576176
NP_003463	168.0	364.0	9.0	18.0	0.8344113981615734			0.9019124895477649
NP_003473	706.0	1496.0	26.0	55.0	1.0			1.0
NP_003600	353.0	778.0	26.0	37.0	0.09715113094492214			0.2641494802162589
NP_003613	374.0	838.0	20.0	35.0	0.3760209102525951			0.5469395058219565
NP_003617	352.0	762.0	21.0	27.0	0.08357063247948221			0.24311456721303917
NP_003642	166.0	384.0	22.0	13.0	0.00012958832457232614			0.006023667666642596
NP_003734	122.0	273.0	8.0	11.0	0.31769441040226976			0.5025128316629057
NP_003886	179.0	397.0	13.0	17.0	0.16377137913518333			0.3504661854098575
NP_003904	508.0	1119.0	32.0	57.0	0.350189288753055			0.5260012441688648
NP_003913	199.0	402.0	11.0	17.0	0.540329581472007			0.6683369971694726
NP_003971	414.0	973.0	20.0	16.0	0.001596807291252936			0.026570873326448856
NP_004229	237.0	542.0	20.0	21.0	0.023313692108982154			0.11467231384214116
NP_004277	127.0	294.0	8.0	11.0	0.3103151235459969			0.49650419767359505
NP_004386	235.0	555.0	14.0	18.0	0.1149739548032292			0.2934304613383027
NP_004437	243.0	564.0	14.0	26.0	0.48720724627249656			0.6341105472568634
NP_004517	112.0	287.0	8.0	7.0	0.04365097607596223			0.16798466954443553
NP_004563	440.0	972.0	26.0	24.0	0.0029977975344559725			0.03712264339905151
NP_004710	338.0	781.0	26.0	32.0	0.027803382891079413			0.12436782024396811
NP_004726	353.0	775.0	20.0	30.0	0.21441919319175412			0.39468311667154743
NP_004732	195.0	446.0	11.0	19.0	0.5436389806529575			0.6683618996216689
NP_004738	478.0	1111.0	16.0	32.0	0.6338220103187912			0.7431943412562906
NP_004765	443.0	953.0	14.0	30.0	1.0			1.0
NP_004808	719.0	1612.0	31.0	43.0	0.05503954795384938			0.18767583564591264
NP_004810	153.0	337.0	12.0	11.0	0.04152310346052321			0.16442445563312302
NP_004822	213.0	458.0	10.0	12.0	0.24459842319484804			0.4311565425807491
NP_004851	139.0	339.0	11.0	16.0	0.2000030704569582			0.38331546312208886
NP_005057	112.0	270.0	8.0	12.0	0.32176027265975143			0.5027144974457873
NP_005144	178.0	445.0	13.0	5.0	0.00020253430245243648			0.006892441520130049
NP_005179	151.0	369.0	13.0	19.0	0.16765089157827318			0.3504661854098575
NP_005222	420.0	948.0	12.0	20.0	0.44012617059912507			0.5944561265234936
NP_005325	164.0	359.0	8.0	14.0	0.6427220130811241			0.7489421777079766
NP_005349	798.0	1808.0	41.0	64.0	0.08428220248150789			0.24315578210194455
NP_005372	364.0	845.0	13.0	21.0	0.344625833494801			0.525144127230173
NP_005376	265.0	586.0	13.0	27.0	0.8622889523331281			0.9041378183436841
NP_005383	300.0	662.0	14.0	26.0	0.6049731509914245			0.7170052159898364
NP_005474	203.0	478.0	12.0	7.0	0.003951962858270886			0.041099532780715965
NP_005511	131.0	321.0	9.0	11.0	0.1370549639936997			0.31155663946108786
NP_005549	276.0	641.0	10.0	5.0	0.004102371788395616			0.041099532780715965
NP_005602	300.0	663.0	17.0	20.0	0.07097811345618307			0.2203499641624788
NP_005624	192.0	413.0	12.0	23.0	0.8521754730359095			0.9041378183436841
NP_005641	421.0	998.0	23.0	37.0	0.15289117153589987			0.3401215366787933
NP_005768	127.0	287.0	11.0	11.0	0.0636750728594141			0.20982421458664102
NP_005830	1128.0	2540.0	101.0	166.0	0.019867189408614754			0.1020339604195523
NP_005839	276.0	628.0	24.0	41.0	0.33062363749948787			0.5112990081776467
NP_005900	1748.0	3936.0	22.0	47.0	0.8956552815711243			0.9222589037960092
NP_006006	330.0	740.0	15.0	32.0	0.8727079773490052			0.9076162964429654
NP_006022	307.0	682.0	11.0	20.0	0.693955047248737			0.7844709229768331
NP_006028	159.0	368.0	9.0	19.0	0.834267467826072			0.9019124895477649
NP_006176	664.0	1571.0	30.0	53.0	0.2226087215845452			0.4043896427038026
NP_006233	180.0	421.0	13.0	18.0	0.16516756571696772			0.3504661854098575
NP_006280	642.0	1388.0	25.0	32.0	0.060600384628782034			0.20330451617397843
NP_006303	893.0	1983.0	47.0	94.0	0.5768693102494333			0.6940446225695107
NP_006319	375.0	886.0	17.0	31.0	0.4230604997620235			0.5808355376270685
NP_006333	141.0	327.0	9.0	9.0	0.1148836475021994			0.2934304613383027
NP_006358	186.0	410.0	12.0	19.0	0.42861556136610335			0.5865265576588783
NP_006378	122.0	293.0	8.0	4.0	0.009505037777893128			0.07092883974656942
NP_006383	184.0	408.0	14.0	20.0	0.25506560001733375			0.4419218152846847
NP_006428	303.0	659.0	13.0	24.0	0.7188721446463586			0.8060668791721973
NP_006460	122.0	297.0	9.0	7.0	0.026923233161886287			0.12436782024396811
NP_006600	230.0	550.0	14.0	14.0	0.033668365511873966			0.14357269917472296
NP_006608	900.0	2169.0	31.0	37.0	0.006722172579693144			0.055928475863046966
