	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_060952	557.0	293.0	26.0	18.0		0.41798728089381865		0.6048590774699885
NP_061857	552.0	294.0	19.0	13.0		0.5714891201765062		0.7198757689240903
NP_061936	728.0	388.0	28.0	15.0		1.0		1.0
NP_062552	511.0	262.0	34.0	23.0		0.31608508480198		0.5111466010986974
NP_062565	940.0	475.0	23.0	26.0		0.008464873883325046		0.07997078221351821
NP_064504	926.0	490.0	27.0	17.0		0.6302108442540564		0.7643435577270481
NP_064578	473.0	245.0	12.0	13.0		0.0857350704931372		0.26375526038559965
NP_065176	1478.0	765.0	33.0	25.0		0.16263959423552565		0.36247201143742214
NP_065778	548.0	295.0	8.0	13.0		0.018658765538796307		0.11945007118527624
NP_065805	1011.0	495.0	45.0	29.0		0.2577871751531948		0.4870820835789313
NP_065816	596.0	296.0	31.0	20.0		0.3651068261346368		0.550728363791322
NP_065823	564.0	293.0	26.0	15.0		0.7390757871624924		0.8214495591062997
NP_065859	793.0	399.0	20.0	12.0		0.7049420463397474		0.8034101417014899
NP_065875	1036.0	524.0	36.0	21.0		0.6689345246744021		0.784795733196439
NP_065883	1058.0	523.0	41.0	37.0		0.013600813057369966		0.1135509741301353
NP_065897	729.0	378.0	24.0	20.0		0.14526454904518032		0.3476664873814649
NP_065899	1891.0	957.0	51.0	26.0		1.0		1.0
NP_065939	1568.0	836.0	65.0	36.0		0.9151390244269482		0.9467864834849407
NP_065953	1323.0	718.0	35.0	25.0		0.33768371444646383		0.5225364374408643
NP_065997	420.0	223.0	21.0	16.0		0.2928734210603801		0.49844280834269505
NP_067643	969.0	478.0	35.0	19.0		0.7690138218545808		0.8424368808707637
NP_068506	1452.0	725.0	38.0	28.0		0.14494386419441516		0.3476664873814649
NP_071918	545.0	255.0	14.0	24.0		0.00014019913975521026		0.00838858186202008
NP_071934	634.0	319.0	17.0	14.0		0.18143315212070465		0.38541125213806493
NP_072174	3471.0	1718.0	91.0	63.0		0.046125694703582534		0.17999048259332748
NP_073568	761.0	385.0	37.0	33.0		0.026903561635484536		0.1408565974398624
NP_073605	649.0	338.0	43.0	34.0		0.0833275242795771		0.26375526038559965
NP_073613	340.0	170.0	19.0	11.0		0.6948833299892236		0.795205101723976
NP_073746	395.0	190.0	13.0	13.0		0.08669392959749514		0.26375526038559965
NP_075385	683.0	361.0	33.0	24.0		0.2558464221018648		0.4870820835789313
NP_075463	628.0	297.0	16.0	14.0		0.11278286553385493		0.30442893779439034
NP_078772	651.0	306.0	35.0	27.0		0.06912963996156948		0.2256140067836677
NP_079031	625.0	335.0	35.0	25.0		0.32969136154790235		0.5177934904886959
NP_079052	870.0	448.0	22.0	24.0		0.016965321015923893		0.11945007118527624
NP_079410	278.0	150.0	22.0	14.0		0.7171078536958528		0.8095651555874566
NP_112179	432.0	221.0	19.0	16.0		0.20018148192822913		0.4108659876537618
NP_112533	615.0	309.0	13.0	13.0		0.09301242491730549		0.2737004962730547
NP_112553	334.0	169.0	13.0	10.0		0.3699746769234825		0.5541870903399977
NP_112604	357.0	171.0	31.0	15.0		1.0		1.0
NP_113584	1721.0	901.0	83.0	44.0		1.0		1.0
NP_114128	1058.0	536.0	44.0	23.0		0.8956526406248588		0.9347072615823382
NP_115593	822.0	419.0	31.0	29.0		0.025507401574274124		0.1408565974398624
NP_115754	380.0	188.0	11.0	15.0		0.018011980264521405		0.11945007118527624
NP_115812	2015.0	1027.0	65.0	46.0		0.10268707056091624		0.2931801056791383
NP_115941	491.0	240.0	7.0	14.0		0.0019892359372240516		0.04200798243902556
NP_116114	714.0	373.0	56.0	37.0		0.30771627394278844		0.5020777123591724
NP_116165	535.0	270.0	22.0	25.0		0.007306266092672526		0.07997078221351821
NP_150091	378.0	164.0	7.0	16.0		0.00028915614603442717		0.01297588205329492
NP_203744	714.0	334.0	27.0	17.0		0.40986818223863847		0.600582356831311
NP_203752	688.0	340.0	12.0	17.0		0.008268790432181396		0.07997078221351821
NP_277052	942.0	472.0	37.0	28.0		0.10929811439615504		0.3011997887243191
NP_443094	783.0	390.0	31.0	28.0		0.033601088607459015		0.1546511642317665
NP_444254	788.0	384.0	26.0	24.0		0.031487275647086505		0.15071909276405407
NP_477352	335.0	160.0	14.0	13.0		0.09628547330947465		0.28102833266749105
NP_510880	1052.0	541.0	36.0	30.0		0.06374737313297552		0.2138813734087683
NP_542194	507.0	260.0	24.0	16.0		0.4943156954650573		0.6747503219465991
NP_542416	581.0	268.0	13.0	14.0		0.03517461645680622		0.1578460913499179
NP_542417	1540.0	798.0	57.0	42.0		0.10487820911144938		0.2964667485906325
NP_570899	482.0	249.0	17.0	14.0		0.2467561757199614		0.4788403626133305
NP_597677	1040.0	524.0	49.0	26.0		0.9004488151137577		0.9369887670314174
NP_597734	1734.0	828.0	43.0	27.0		0.3006969400384134		0.49844280834269505
NP_612429	1804.0	908.0	35.0	24.0		0.2658630482312714		0.4882724852792978
