	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_055940	544.0	1162.0	5.0	45.0		0.0005364194344183964	0.0032185166065103786	
NP_055972	700.0	1535.0	23.0	62.0		0.4743648263583239	0.6383975233233518	
NP_056018	506.0	1144.0	15.0	64.0		0.0320909637363804	0.07220466840685591	
NP_056069	312.0	662.0	5.0	35.0		0.008337438550986901	0.025012315652960703	
NP_056073	454.0	980.0	12.0	36.0		0.42932882401389977	0.5832391571509581	
NP_056077	256.0	537.0	4.0	27.0		0.028344205037536322	0.065831702022665	
NP_056093	485.0	1034.0	14.0	48.0		0.12742233846036588	0.22107008118424926	
NP_056130	550.0	1227.0	12.0	42.0		0.18153416919212634	0.2872628611391889	
NP_056182	170.0	350.0	8.0	29.0		0.20227108835470964	0.3131939432589052	
NP_056197	240.0	557.0	8.0	26.0		0.5659104556934574	0.7148342598233147	
NP_056262	328.0	713.0	9.0	30.0		0.2959877499106854	0.42622235987138696	
NP_056285	490.0	1108.0	14.0	35.0		0.8752497502494954	0.9621381695811299	
NP_056390	330.0	734.0	13.0	32.0		0.8697777979849896	0.9621381695811299	
NP_057541	263.0	576.0	6.0	34.0		0.03375247073517662	0.07364175433129445	
NP_057591	486.0	1051.0	31.0	71.0		0.8268646223241705	0.9375472883045712	
NP_059990	238.0	506.0	2.0	29.0		0.001294085827143047	0.005910901342487859	
NP_060395	691.0	1538.0	20.0	54.0		0.5238012709755071	0.6795259731574146	
NP_060644	506.0	1105.0	11.0	46.0		0.05786418129563467	0.11572836259126934	
NP_060679	279.0	635.0	8.0	24.0		0.5634979050914204	0.7148342598233147	
NP_061322	437.0	946.0	12.0	41.0		0.17807034138498068	0.28491254621596906	
NP_064578	229.0	472.0	8.0	34.0		0.0869578006555076	0.16476214861043545	
NP_065176	685.0	1535.0	16.0	65.0		0.03617816856085477	0.07775606377258339	
NP_065750	234.0	508.0	8.0	34.0		0.12086684065301742	0.21225396407359157	
NP_065821	313.0	727.0	3.0	48.0		5.037477472290165e-05	0.0005579975046229106	
NP_065883	492.0	1118.0	14.0	35.0		0.8752784737161667	0.9621381695811299	
NP_065899	893.0	1947.0	11.0	74.0		0.00017854311985852174	0.0016068880787266956	
NP_065939	733.0	1668.0	27.0	77.0		0.38339008522215284	0.5308478103075962	
NP_066997	284.0	599.0	2.0	35.0		0.0001941349418117494	0.0016444371541701126	
NP_073585	522.0	1147.0	15.0	38.0		0.7635986045980176	0.8726841195405916	
NP_075463	287.0	631.0	3.0	34.0		0.001615979758001814	0.00661920456187853	
NP_079031	290.0	703.0	5.0	22.0		0.2851146214989559	0.41894393363111887	
NP_079461	382.0	844.0	4.0	61.0		2.4080610569850596e-06	4.3345099025731075e-05	
NP_109590	339.0	744.0	15.0	34.0		1.0	1.0	
NP_115751	156.0	350.0	9.0	21.0		1.0	1.0	
NP_149072	349.0	802.0	5.0	25.0		0.15567539311476575	0.2606657745177473	
NP_542775	224.0	471.0	0.0	55.0		1.834826749715876e-09	6.605376298977154e-08	
NP_597677	480.0	1117.0	11.0	31.0		0.7331643345746597	0.8583387331605772	
NP_620137	349.0	716.0	3.0	32.0		0.0014784398786389717	0.00645137401587915	
NP_683692	520.0	1184.0	12.0	32.0		0.7412631756942512	0.8607569862627524	
NP_733751	420.0	963.0	10.0	35.0		0.32137261887570545	0.44929764192331634	
NP_835227	215.0	469.0	2.0	29.0		0.0021317700895092445	0.00796237665655776	
NP_851999	205.0	458.0	7.0	35.0		0.05628189503272106	0.11414919555932158	
NP_919277	329.0	733.0	5.0	45.0		0.0008223272431478678	0.004385745296788628	
NP_937872	144.0	312.0	3.0	26.0		0.019944311038073204	0.050385627885658625	
NP_982261	300.0	670.0	12.0	27.0		1.0	1.0	
NP_996811	345.0	725.0	2.0	44.0		1.1178847802539142e-05	0.00016787147038040806	
NP_997245	248.0	574.0	0.0	26.0		0.0002188146678596414	0.0017505173428771312	
XP_003846661	430.0	913.0	10.0	32.0		0.31406143812391824	0.4433808538220022	
XP_003960280	355.0	795.0	4.0	35.0		0.00419598770279869	0.014051679748907241	
NP_000170	219.0	487.0	12.0	6.0	0.0031959325775543527			0.006696209428503514
NP_000204	190.0	393.0	34.0	0.0	1.970636645588684e-16			6.207505433604355e-15
NP_000290	175.0	454.0	43.0	9.0	5.323014115442548e-15			1.289807266434156e-13
NP_000413	120.0	287.0	22.0	8.0	2.418513931039969e-06			1.1720490588886004e-05
NP_000415	378.0	970.0	91.0	31.0	4.6087614608226865e-24			4.83919953386382e-22
NP_000468	210.0	458.0	22.0	22.0	0.01891898384513596			0.03087813425501465
NP_000537	22.0	56.0	8.0	1.0	0.0006783241932132553			0.0017231622650175438
NP_001003408	426.0	996.0	38.0	22.0	2.2538144089027245e-07			1.4488806914374658e-06
NP_001010924	54.0	126.0	18.0	0.0	2.689327643794273e-09			2.4043032719006924e-08
NP_001014972	323.0	765.0	18.0	22.0	0.05224232014318238			0.07480150384137477
NP_001015055	171.0	451.0	31.0	8.0	1.0464802059969435e-10			1.318565059556149e-09
NP_001017915	235.0	532.0	20.0	21.0	0.023555638099461644			0.03673280198678425
NP_001018077	227.0	514.0	13.0	6.0	0.0015879217524439955			0.003677907000146019
NP_001018494	181.0	399.0	13.0	10.0	0.020299823169752432			0.03245910811407115
NP_001020262	187.0	435.0	17.0	13.0	0.00394749871181224			0.00807442918325231
NP_001025053	377.0	850.0	26.0	15.0	2.5243644176247574e-05			0.00010326945344828553
NP_001025055	239.0	580.0	50.0	8.0	4.7585340359032755e-18			1.8736727766369147e-16
NP_001026855	149.0	338.0	18.0	4.0	1.9145995380525254e-06			9.72740087881525e-06
NP_001027454	377.0	863.0	27.0	38.0	0.07270875811823449			0.10075320747716167
NP_001032242	499.0	1096.0	23.0	41.0	0.4924703087753993			0.5312607783022287
NP_001034230	112.0	225.0	8.0	7.0	0.16096924930144288			0.1988443667841353
NP_001034558	325.0	777.0	16.0	17.0	0.0318966082545303			0.04784491238179545
NP_001035784	214.0	485.0	15.0	7.0	0.0005948213074145284			0.0015358091134063643
NP_001070962	77.0	168.0	10.0	3.0	0.001401413233642412			0.0032943669298310433
NP_001073960	111.0	323.0	38.0	2.0	9.140341267568372e-19			4.113153570405767e-17
NP_001078927	806.0	1810.0	66.0	64.0	4.381114437626976e-06			2.029486835077202e-05
NP_001091886	190.0	432.0	9.0	18.0	0.8315243659080829			0.8449360492291811
NP_001092885	249.0	562.0	18.0	11.0	0.0008000152618329992			0.0020160384598191584
NP_001099032	197.0	446.0	16.0	14.0	0.014485494036338952			0.024664489845658215
NP_001102	230.0	519.0	22.0	14.0	0.0003407343279968719			0.0009215506183036536
NP_001104026	1028.0	2272.0	52.0	83.0	0.07292613112632654			0.10075320747716167
NP_001104488	205.0	547.0	29.0	32.0	0.0017385051099277436			0.003939777767102441
NP_001106189	673.0	1473.0	28.0	44.0	0.19734602909353938			0.2390923044787112
NP_001106963	323.0	678.0	16.0	26.0	0.5012570555301139			0.5388941040682111
NP_001123539	97.0	243.0	13.0	2.0	8.259096065823777e-06			3.7165932296207e-05
NP_001123617	348.0	795.0	18.0	18.0	0.01676454352671073			0.02779384847849411
NP_001123910	288.0	641.0	16.0	25.0	0.3029520566597955			0.34451226659868445
NP_001127910	532.0	1171.0	20.0	38.0	0.6660246477243742			0.6924018614956365
NP_001128342	265.0	619.0	25.0	10.0	9.143978281388473e-07			4.966062045925265e-06
NP_001129069	254.0	627.0	35.0	14.0	2.7477751678865055e-09			2.4043032719006924e-08
NP_001135452	1618.0	3648.0	66.0	131.0	0.431995354882706			0.47240557210189665
NP_001137532	252.0	557.0	39.0	9.0	5.636681753041253e-12			9.864193067822194e-11
NP_001139143	478.0	1131.0	54.0	28.0	6.582486903547164e-11			9.015145107031984e-10
NP_001139699	32.0	72.0	8.0	2.0	0.0033618326245738084			0.0069669557680312475
NP_001155856	446.0	1051.0	53.0	30.0	6.073823613969842e-10			5.978920120001563e-09
NP_001157745	390.0	908.0	12.0	21.0	0.445451664440559			0.482189946043904
NP_001157852	169.0	397.0	20.0	20.0	0.01241657910264533			0.021608963631675575
NP_001157918	299.0	695.0	13.0	24.0	0.5846335549486812			0.6221607088136303
NP_001159477	198.0	445.0	13.0	16.0	0.15026992251342464			0.18877552946069362
NP_001166184	142.0	316.0	9.0	6.0	0.024205516044595532			0.037560283517475826
NP_001177666	250.0	680.0	43.0	4.0	1.7084506309335778e-19			1.076323897488154e-17
NP_001181875	276.0	610.0	14.0	12.0	0.018566805176781317			0.030461164743156847
NP_001184033	248.0	581.0	21.0	11.0	5.21548157824836e-05			0.0001910321740870039
NP_001186064	216.0	508.0	14.0	6.0	0.00030757149510639184			0.0008573895660045436
NP_001191315	172.0	418.0	22.0	24.0	0.011900204757944857			0.02094170111034989
NP_001191332	361.0	864.0	28.0	36.0	0.01774111553501615			0.029258907819529258
NP_001193937	637.0	1505.0	50.0	56.0	0.00031527849115782307			0.0008711642518834585
NP_001193946	175.0	404.0	23.0	12.0	4.391433801865149e-05			0.00016869532287652704
NP_001193980	287.0	691.0	27.0	14.0	2.700437915910532e-06			1.2888453689572994e-05
NP_001230685	353.0	796.0	26.0	24.0	0.0027478832896979995			0.005928652303115547
NP_001243111	262.0	594.0	25.0	10.0	2.2924496051270182e-06			1.1283150400234542e-05
NP_001243399	298.0	725.0	22.0	23.0	0.00717068320825355			0.013525540183232744
NP_001245238	133.0	296.0	12.0	2.0	5.123978499418388e-05			0.00018988861497844616
NP_001245244	110.0	265.0	16.0	13.0	0.006110667136910282			0.011849872747298715
NP_001258898	271.0	618.0	22.0	13.0	0.00013059555430935892			0.0004197714245657965
NP_001258928	469.0	1139.0	32.0	13.0	1.2694526419755445e-08			1.0253271339033244e-07
NP_001264	506.0	1146.0	14.0	21.0	0.2670156111856388			0.31151821304991195
NP_001265138	556.0	1257.0	26.0	43.0	0.2327195292508228			0.2755889162180796
NP_001265389	550.0	1203.0	57.0	38.0	3.1363854648331606e-08			2.3522890986248705e-07
NP_001265586	95.0	235.0	16.0	6.0	5.023316599772174e-05			0.0001883743724914565
NP_001265598	148.0	339.0	10.0	6.0	0.011279266452027438			0.020124487712443927
NP_001265612	145.0	336.0	16.0	10.0	0.0017768880084372005			0.003997998018983702
NP_001419	215.0	507.0	21.0	9.0	1.0467204021746439e-05			4.5166702285618196e-05
NP_001422	411.0	912.0	20.0	29.0	0.15949738124052665			0.19780187043608619
NP_001444	67.0	166.0	22.0	0.0	1.3086627768438908e-11			1.9629941652658363e-10
NP_001485	57.0	146.0	16.0	2.0	4.948655049781963e-07			2.7836184655023544e-06
NP_001509	252.0	581.0	21.0	12.0	0.00015663387253632028			0.0004699016176089609
NP_001605	315.0	679.0	11.0	15.0	0.2874219848388979			0.33034461804858556
NP_001661	174.0	394.0	11.0	4.0	0.0009877066273161965			0.0024306842781609524
NP_001777	108.0	257.0	14.0	5.0	0.00014779505902790685			0.00045199459799796755
NP_001895	123.0	295.0	16.0	13.0	0.006182988313227162			0.011875861699186316
NP_001931	287.0	620.0	18.0	29.0	0.3396618883846919			0.3794095561743899
NP_001972	375.0	837.0	16.0	30.0	0.6267844269365324			0.658123648283359
NP_001978	387.0	842.0	34.0	24.0	4.061666499258327e-05			0.00015992811840829664
NP_002105	383.0	850.0	14.0	30.0	1.0			1.0
NP_002212	259.0	630.0	35.0	17.0	4.1548217489234956e-08			3.0436484904904683e-07
NP_002267	410.0	936.0	18.0	32.0	0.43538784151639787			0.47292127612988044
NP_002289	120.0	296.0	25.0	8.0	1.2621440796941988e-07			8.459050746886652e-07
NP_002365	449.0	1250.0	98.0	13.0	9.67234732249134e-40			3.046789406584772e-37
NP_002410	178.0	423.0	25.0	10.0	9.301513038399702e-07			4.966062045925265e-06
NP_002435	146.0	351.0	19.0	4.0	3.8724310052048733e-07			2.3015391823387454e-06
NP_002471	353.0	757.0	15.0	28.0	0.7390356939626568			0.760772037902735
NP_002472	88.0	181.0	14.0	11.0	0.02694102704590587			0.040997215069856756
NP_002492	218.0	521.0	13.0	14.0	0.05263943859815045			0.07502906406523707
NP_002568	267.0	602.0	14.0	26.0	0.6006667078983906			0.6328094079865988
NP_003119	527.0	1248.0	32.0	40.0	0.012253475946060102			0.02144358290560518
NP_003147	253.0	573.0	24.0	14.0	6.085279628230704e-05			0.00021782535032871268
NP_003248	687.0	1576.0	31.0	56.0	0.28839609512178105			0.33034461804858556
NP_003293	85.0	200.0	13.0	11.0	0.02086737963685467			0.03319810396772334
NP_003362	73.0	176.0	10.0	4.0	0.00196335707036842			0.004355334346239805
NP_003371	776.0	1763.0	31.0	55.0	0.2859797490494122			0.32997663351855255
NP_003452	344.0	794.0	21.0	19.0	0.004712713742115366			0.009535800387118007
NP_003463	160.0	384.0	13.0	2.0	9.637454345572876e-06			4.2163862761881336e-05
NP_003642	165.0	398.0	15.0	7.0	0.00025653322084370365			0.0007279996807726725
NP_003812	222.0	508.0	23.0	20.0	0.002293617916608937			0.00501728919258205
NP_003904	507.0	1156.0	26.0	27.0	0.006131838913681558			0.011849872747298715
NP_003933	225.0	491.0	17.0	9.0	0.0008989284000637371			0.0022473210001593426
NP_003971	403.0	953.0	47.0	20.0	4.070398122782109e-11			5.82807003943802e-10
NP_004136	388.0	866.0	17.0	24.0	0.17112669327166247			0.21056604836161594
NP_004148	129.0	298.0	13.0	25.0	0.5867106979164448			0.622268922032593
NP_004332	137.0	316.0	15.0	6.0	0.00018045141201129431			0.000536247120599601
NP_004386	247.0	547.0	17.0	11.0	0.0016722412499610006			0.0038170724183892403
NP_004406	565.0	1296.0	39.0	49.0	0.009006182811004241			0.016590336757113078
NP_004437	246.0	567.0	18.0	16.0	0.007570010829002756			0.014193770304380167
NP_004578	120.0	287.0	19.0	8.0	4.767077651542483e-05			0.0001809192120766123
NP_004689	65.0	145.0	8.0	2.0	0.0026758084065793553			0.0058129630901551516
NP_004808	687.0	1641.0	47.0	30.0	2.085710929448325e-08			1.6424973569405562e-07
NP_004822	194.0	480.0	10.0	9.0	0.03787352747095652			0.05580173791472034
NP_004841	109.0	233.0	11.0	5.0	0.004722491620287013			0.009535800387118007
NP_004915	248.0	515.0	20.0	26.0	0.14624325466713786			0.18500652698854791
NP_004957	162.0	346.0	10.0	10.0	0.14162634821123044			0.18033864439292271
