	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_060506	404.0	199.0	10.0	9.0		0.2190403023738756		0.32307245883602126
NP_060537	1434.0	755.0	44.0	26.0		0.7019499429488678		0.7602250325521701
NP_060644	1075.0	536.0	27.0	30.0		0.003986510389808029		0.01634469259821292
NP_060679	612.0	302.0	21.0	11.0		0.8506052679048179		0.8942260508742959
NP_060700	342.0	173.0	5.0	13.0		0.0015403163041127696		0.008668054495693429
NP_060731	464.0	228.0	15.0	10.0		0.517843181130704		0.6017044250385103
NP_060821	443.0	222.0	17.0	21.0		0.008036341965439342		0.028830376801013642
NP_060952	570.0	300.0	13.0	11.0		0.2794791503531281		0.39127081049437934
NP_061322	924.0	459.0	25.0	28.0		0.004554357077866208		0.018244536215808314
NP_062535	202.0	106.0	5.0	10.0		0.023687265518868093		0.06236922205426737
NP_062536	1863.0	951.0	71.0	74.0		3.3903869305440685e-05		0.0004633528805076894
NP_064522	292.0	136.0	10.0	11.0		0.05827308611063776		0.125747185817692
NP_064578	461.0	240.0	24.0	18.0		0.316464933127515		0.41663043948438905
NP_065176	1464.0	756.0	47.0	34.0		0.1530482901181726		0.2583815250818561
NP_065750	488.0	254.0	19.0	23.0		0.011835081781917195		0.03949614501639808
NP_065770	1007.0	504.0	33.0	26.0		0.09328315216352429		0.17461699037134776
NP_065797	294.0	160.0	9.0	18.0		0.0016520045216974304		0.009117794187060817
NP_065827	398.0	208.0	12.0	20.0		0.002006314337258564		0.01023856195994615
NP_065857	304.0	157.0	15.0	11.0		0.4017168292340669		0.501272739087727
NP_065871	403.0	214.0	17.0	15.0		0.18467458017999483		0.29266137284251187
NP_065883	1081.0	529.0	18.0	31.0		2.1080527053843096e-05		0.0004133007989019557
NP_065897	731.0	378.0	22.0	20.0		0.09695158463809816		0.1783660563534242
NP_065899	1905.0	935.0	37.0	48.0		1.2166301793040267e-05		0.0002685945088155813
NP_065905	520.0	275.0	15.0	17.0		0.03789796743051896		0.09063930543799117
