	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_006319	1141.0	122.0	44.0	2.0	0.30837237716693594		0.5939384217412228	
NP_006448	1244.0	127.0	60.0	1.0	0.037324748059387264		0.16318873621949603	
NP_006600	708.0	69.0	29.0	2.0	1.0		1.0	
NP_006608	2725.0	291.0	119.0	2.0	0.0011389013786840866		0.0251182128338969	
NP_006654	1423.0	142.0	56.0	3.0	0.48105363113636535		0.7340214888891092	
NP_006847	729.0	73.0	32.0	2.0	0.7607031550483527		0.9370275477351131	
NP_008835	470.0	48.0	24.0	1.0	0.7168355342205435		0.9370275477351131	
NP_009178	1411.0	138.0	52.0	5.0	1.0		1.0	
NP_009217	2489.0	265.0	130.0	5.0	0.021616585058163537		0.12342372759015956	
NP_036222	1234.0	125.0	45.0	4.0	1.0		1.0	
NP_036252	756.0	77.0	35.0	3.0	1.0		1.0	
NP_036288	1481.0	147.0	72.0	0.0	0.002122219391429849		0.028608839694204816	
NP_036556	1124.0	115.0	48.0	4.0	1.0		1.0	
NP_036565	2166.0	205.0	78.0	6.0	0.8423352674893149		0.9563297548866517	
NP_054749	888.0	82.0	47.0	2.0	0.4229301660829602		0.6925184798584173	
NP_054831	1551.0	148.0	72.0	1.0	0.027598745943112783		0.14109272184077087	
NP_054878	1290.0	132.0	39.0	3.0	1.0		1.0	
NP_054908	1040.0	104.0	49.0	0.0	0.017834053765442073		0.10796526349380717	
NP_055144	984.0	101.0	40.0	2.0	0.42134445822817146		0.6925184798584173	
NP_055160	2229.0	221.0	68.0	4.0	0.4031208551616245		0.6925184798584173	
NP_055412	836.0	84.0	37.0	0.0	0.0677481739392754		0.23509086871612211	
NP_055456	1932.0	173.0	92.0	2.0	0.030182394905918074		0.14408714936625955	
NP_055535	1081.0	111.0	39.0	3.0	0.7914053491464617		0.9370275477351131	
NP_055617	910.0	91.0	47.0	0.0	0.02869682478117374		0.14109272184077087	
NP_055627	2449.0	250.0	102.0	2.0	0.007522033876474887		0.06656999980680274	
NP_055647	970.0	104.0	31.0	0.0	0.10789104759116186		0.2850256033378455	
NP_055681	2814.0	274.0	136.0	8.0	0.22458023161820495		0.4789241083906298	
NP_055750	1431.0	137.0	90.0	4.0	0.17903824095369092		0.39612210811004117	
NP_055792	2456.0	224.0	81.0	6.0	0.8428669026119642		0.9563297548866517	
NP_055816	1993.0	183.0	54.0	3.0	0.6240549449943551		0.8496748097230835	
NP_055820	2121.0	212.0	82.0	0.0	0.0009972987289334676		0.0251182128338969	
NP_055831	858.0	93.0	38.0	0.0	0.04236825544761093		0.17127132003661355	
NP_055857	1294.0	121.0	49.0	3.0	0.6175530512340001		0.8473402330885118	
NP_055885	2107.0	211.0	60.0	5.0	0.8292354951117089		0.9530823547712499	
NP_055888	1144.0	128.0	48.0	0.0	0.011383523090415534		0.0827451223097193	
NP_055912	1176.0	114.0	56.0	3.0	0.4754811783025375		0.7340214888891092	
NP_055987	1305.0	125.0	42.0	2.0	0.5805010875968716		0.802724160192549	
NP_056060	868.0	89.0	37.0	0.0	0.06943028455087974		0.23509086871612211	
NP_056073	1296.0	138.0	47.0	1.0	0.0804398198761224		0.2380267755310944	
NP_056093	1381.0	138.0	61.0	1.0	0.03780078070621094		0.16318873621949603	
NP_056130	1611.0	166.0	49.0	5.0	1.0		1.0	
NP_056171	2037.0	206.0	93.0	1.0	0.002529471568880123		0.029847764512785452	
NP_056197	728.0	69.0	32.0	2.0	0.7607536055787965		0.9370275477351131	
NP_056272	1138.0	114.0	61.0	3.0	0.36325840917806773		0.6429673842451799	
NP_056285	1445.0	153.0	48.0	1.0	0.08084138564988053		0.2380267755310944	
NP_056345	694.0	76.0	42.0	1.0	0.11287669691847853		0.2938114022730985	
NP_056364	1320.0	133.0	42.0	2.0	0.4241921242262505		0.6925184798584173	
NP_056390	967.0	97.0	44.0	1.0	0.17321939857483257		0.3930747890736585	
NP_056450	877.0	85.0	34.0	0.0	0.10777525323906167		0.2850256033378455	
NP_057404	1362.0	143.0	42.0	3.0	0.7940911421484009		0.9370275477351131	
NP_057541	760.0	79.0	39.0	1.0	0.1671299318228998		0.3930747890736585	
NP_060110	1244.0	125.0	74.0	0.0	0.002116697869919374		0.028608839694204816	
NP_060130	546.0	57.0	31.0	3.0	1.0		1.0	
NP_060395	2022.0	207.0	71.0	3.0	0.1505685545787017		0.3807233451490028	
NP_060621	1397.0	140.0	58.0	1.0	0.05692629401352982		0.20991570917489122	
NP_060644	1472.0	139.0	53.0	4.0	0.8133053718165544		0.947072702707435	
NP_060649	894.0	85.0	29.0	1.0	0.5059694346581023		0.7589541519871534	
NP_060873	841.0	87.0	30.0	0.0	0.1019541896343199		0.281967055707416	
NP_061322	1251.0	132.0	50.0	3.0	0.4730165097123894		0.7340214888891092	
NP_062536	2554.0	260.0	135.0	10.0	0.4580322309194167		0.7340214888891092	
NP_062565	1269.0	133.0	58.0	4.0	0.653411448492222		0.8696641963448809	
NP_062817	1182.0	124.0	47.0	2.0	0.3120693402369137		0.5939384217412228	
NP_064504	1269.0	126.0	61.0	4.0	0.6534764865190348		0.8696641963448809	
NP_065750	675.0	67.0	40.0	2.0	0.5720538068497727		0.8017331162624134	
NP_065770	1372.0	139.0	57.0	2.0	0.16255753527933833		0.3930747890736585	
NP_065805	1391.0	134.0	51.0	4.0	1.0		1.0	
NP_065875	1405.0	145.0	66.0	1.0	0.026309938852683762		0.14109272184077087	
NP_065899	2574.0	266.0	80.0	5.0	0.34426483786488904		0.6429673842451799	
NP_065939	2189.0	212.0	103.0	1.0	0.0017721898073006647		0.028516145081110694	
NP_065953	1861.0	184.0	53.0	3.0	0.4766037427168542		0.7340214888891092	
NP_066997	803.0	80.0	35.0	2.0	0.7656321222827334		0.9370275477351131	
NP_068506	1931.0	200.0	109.0	3.0	0.010737913700787041		0.0827451223097193	
NP_071934	851.0	78.0	51.0	4.0	1.0		1.0	
NP_072174	4595.0	498.0	243.0	7.0	5.224330317796849e-05		0.003082354887500141	
NP_073585	1504.0	165.0	52.0	1.0	0.05554143134962168		0.20916666699751144	
NP_073602	474.0	48.0	28.0	1.0	0.5008372765940541		0.7576769056166459	
NP_073744	767.0	78.0	37.0	3.0	1.0		1.0	
NP_075385	948.0	98.0	54.0	1.0	0.053513462685975524		0.20591049772647105	
NP_109590	975.0	108.0	48.0	1.0	0.07929098211039395		0.2380267755310944	
NP_114128	1471.0	147.0	42.0	1.0	0.1726514409414555		0.3930747890736585	
NP_115593	1142.0	116.0	42.0	1.0	0.171537034529756		0.3930747890736585	
NP_115751	456.0	50.0	30.0	0.0	0.09892250453197779		0.2779251317803186	
NP_115812	2803.0	258.0	86.0	6.0	0.7012156106144454		0.9262325602892301	
NP_203754	5127.0	536.0	215.0	20.0	0.7323017005900153		0.9370275477351131	
NP_277052	1281.0	132.0	65.0	1.0	0.02546828632172717		0.1408714587170534	
NP_510880	1436.0	147.0	75.0	1.0	0.011808064557480968		0.0827451223097193	
NP_542417	2179.0	213.0	42.0	3.0	0.7934461709929795		0.9370275477351131	
NP_597677	1455.0	142.0	41.0	1.0	0.17227635276998443		0.3930747890736585	
NP_597734	2229.0	249.0	153.0	1.0	5.6354879512856895e-06		0.0004987406836887836	
NP_612206	786.0	79.0	27.0	0.0	0.16081505615298508		0.3930747890736585	
NP_620305	1499.0	139.0	61.0	3.0	0.3613422909520143		0.6429673842451799	
NP_663719	1007.0	107.0	44.0	4.0	1.0		1.0	
NP_689449	960.0	99.0	43.0	3.0	0.7931596931176597		0.9370275477351131	
NP_689969	919.0	90.0	40.0	2.0	0.5740860800354095		0.8017331162624134	
NP_733751	1250.0	133.0	45.0	0.0	0.017940630183382145		0.10796526349380717	
NP_733793	955.0	101.0	42.0	3.0	0.7930879621604026		0.9370275477351131	
NP_733821	2577.0	266.0	101.0	1.0	0.0012058693603427574		0.0251182128338969	
NP_775114	879.0	86.0	46.0	3.0	0.7939624402596558		0.9370275477351131	
NP_872363	1612.0	167.0	72.0	2.0	0.059990092521447914		0.21669890563869962	
NP_892017	1169.0	118.0	37.0	3.0	1.0		1.0	
NP_937883	1001.0	98.0	49.0	2.0	0.3089041666391491		0.5939384217412228	
NP_940890	1968.0	198.0	117.0	2.0	0.0022628460775077257		0.028608839694204816	
NP_982261	886.0	84.0	36.0	3.0	1.0		1.0	
NP_997006	1128.0	118.0	57.0	3.0	0.3592504457144874		0.6429673842451799	
NP_000594	189.0	21.0	6.0	3.0		0.06265210517227249		0.1790060147779214
NP_001005751	2355.0	226.0	76.0	10.0		0.3346420718734434		0.47806010267634774
NP_001035905	1428.0	146.0	28.0	3.0		0.7614476731105249		0.8090149596757897
NP_001035932	858.0	73.0	36.0	5.0		0.36924150028278246		0.5137273047412626
