	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_055972	1088.0	1147.0	48.0	37.0	0.18455799982135246			0.31574983101966325
NP_056018	810.0	840.0	40.0	39.0	0.8184794229932483			0.9009618454654361
NP_056025	292.0	306.0	32.0	11.0	0.0013687096802422888			0.007475260561323269
NP_056069	469.0	505.0	32.0	8.0	7.103641712409285e-05			0.0007205122308300846
NP_056073	687.0	747.0	29.0	19.0	0.1059334194400178			0.20892424389559067
NP_056077	369.0	424.0	18.0	13.0	0.27094000388072004			0.4007654224068984
NP_056130	857.0	920.0	31.0	23.0	0.21380762289817845			0.34897336151196945
NP_056145	473.0	520.0	22.0	14.0	0.1275796471819688			0.24481499864648068
NP_056182	250.0	270.0	20.0	17.0	0.5008389416449248			0.629982141793405
NP_056285	771.0	827.0	31.0	18.0	0.042366499595070696			0.110373841699294
NP_056371	1227.0	1273.0	40.0	31.0	0.2316792546271558			0.36655430732639727
NP_056390	514.0	550.0	28.0	17.0	0.06977440406962426			0.15243023658287147
NP_056392	535.0	558.0	27.0	16.0	0.08727013350860213			0.1849605814659926
NP_056506	364.0	400.0	21.0	12.0	0.07741319748426417			0.16655566731462898
NP_057541	406.0	433.0	25.0	15.0	0.10467221178675579			0.20892424389559067
NP_059990	358.0	386.0	18.0	13.0	0.35944005998147166			0.4955387234696017
NP_060395	1073.0	1156.0	46.0	28.0	0.018214252666472065			0.06014939252648915
NP_060679	451.0	463.0	20.0	12.0	0.154118786476503			0.29160363051850735
NP_061322	662.0	721.0	34.0	19.0	0.024415697137912706			0.07704508874630231
NP_062536	1336.0	1478.0	92.0	53.0	0.00022562114126772038			0.0016019101030008147
NP_065176	1077.0	1143.0	46.0	35.0	0.1741814750172259			0.3100456700940741
NP_065821	522.0	518.0	37.0	14.0	0.0022904537906236395			0.011215325457536441
NP_065899	1383.0	1457.0	70.0	15.0	3.3918754615745167e-10			1.2041157888589534e-08
NP_065939	1151.0	1250.0	70.0	34.0	0.00012181919273393965			0.0010175485510717313
NP_066997	414.0	469.0	30.0	7.0	3.6280014234898143e-05			0.0004595195847381732
NP_073585	807.0	862.0	38.0	15.0	0.0011264203819030866			0.006398067769209532
NP_075463	452.0	466.0	30.0	7.0	0.00014777526459809913			0.0011657826429405597
NP_078958	213.0	230.0	13.0	2.0	0.003276392375747698			0.015508257245205772
NP_079031	490.0	503.0	17.0	10.0	0.17685703716633805			0.3100456700940741
NP_079440	362.0	394.0	21.0	5.0	0.0010613553696929836			0.006279685937350153
NP_109590	514.0	569.0	27.0	22.0	0.30947694682914184			0.44538664638084685
NP_149107	414.0	469.0	27.0	11.0	0.004334816027173146			0.018652844722987477
NP_149131	718.0	754.0	31.0	27.0	0.5057603110172406			0.629982141793405
NP_542775	328.0	367.0	40.0	15.0	0.0003735626206433735			0.0025259948633980494
NP_597677	781.0	816.0	25.0	17.0	0.2110743252149157			0.34851807186648875
NP_612144	298.0	329.0	17.0	12.0	0.25960419038972854			0.3963848928531339
NP_612453	320.0	325.0	18.0	12.0	0.3506097070995353			0.4881037098836668
NP_620137	507.0	558.0	19.0	16.0	0.49333330520208707			0.629982141793405
NP_683692	843.0	861.0	22.0	22.0	1.0			1.0
NP_689969	478.0	531.0	21.0	21.0	0.7549341683947055			0.8507988246987951
NP_835227	331.0	353.0	21.0	10.0	0.04275043164409274			0.110373841699294
NP_851999	314.0	349.0	24.0	18.0	0.2651524894238505			0.4005495052998593
NP_872363	869.0	910.0	39.0	35.0	0.5539511276631573			0.6663902062593365
NP_919254	543.0	564.0	26.0	7.0	0.0006814614641760684			0.0042072838223044225
NP_982261	467.0	503.0	21.0	18.0	0.5165697247577776			0.6378513123096037
NP_996811	507.0	563.0	26.0	20.0	0.23197905763665536			0.36655430732639727
NP_997245	413.0	409.0	23.0	3.0	8.125309495642023e-05			0.0007211212177382295
XP_003846661	644.0	699.0	21.0	21.0	0.8757470655936186			0.9516155652226558
