	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_056176	75.0	458.0	4.0	9.0	0.10393244525187648			0.15341498811995738
NP_056181	56.0	255.0	8.0	21.0	0.2164442199148247			0.2684718145205987
NP_056182	89.0	445.0	6.0	17.0	0.2555873174874497			0.3036044614532871
NP_056193	216.0	1134.0	11.0	45.0	0.4591279145840452			0.49222925956073205
NP_056224	120.0	635.0	6.0	27.0	0.6348919780924179			0.6536131518053995
NP_056261	170.0	875.0	9.0	26.0	0.16213044181106198			0.21519131367650046
NP_056262	163.0	876.0	12.0	29.0	0.029146614949073342			0.058658475699513525
NP_056272	193.0	1087.0	9.0	27.0	0.1045332279105761			0.15373659709192786
NP_056281	80.0	396.0	6.0	8.0	0.022512301406212198			0.04966312645381427
NP_056342	119.0	673.0	17.0	20.0	1.489463011894464e-05			0.00034172537101464416
NP_056347	30.0	180.0	6.0	11.0	0.03457040397396426			0.0672155796394511
NP_056349	56.0	298.0	6.0	9.0	0.02566305009131534			0.053997165702412864
NP_056371	364.0	2094.0	29.0	84.0	0.0030655448853569387			0.013378437733378379
NP_056393	99.0	542.0	9.0	18.0	0.027342632523283998			0.05615379518208964
NP_056404	50.0	269.0	7.0	7.0	0.003912958795019651			0.015478354248279704
NP_056418	98.0	594.0	14.0	15.0	2.2298226104517615e-05			0.0004476368890481911
NP_056450	143.0	812.0	21.0	20.0	1.4839167801878308e-07			1.0776624912915138e-05
NP_056485	71.0	404.0	11.0	22.0	0.011704331914354806			0.032408891473196234
NP_056969	144.0	813.0	18.0	39.0	0.002356249842574542			0.011262313235639032
NP_056986	116.0	671.0	9.0	20.0	0.030445570307868094			0.06051433900301505
NP_056989	89.0	457.0	8.0	16.0	0.04650889213837583			0.08336303657838345
NP_056995	20.0	117.0	5.0	6.0	0.02103618770629897			0.047717680023045404
NP_057079	25.0	132.0	6.0	4.0	0.0031681562750326105			0.01367757789704939
NP_057108	29.0	172.0	5.0	7.0	0.026637776926747143			0.055652303576808546
NP_057114	52.0	276.0	6.0	19.0	0.2712794433900801			0.31847572082198
NP_057205	93.0	452.0	11.0	14.0	0.002082722514538516			0.010579859530439292
NP_057287	80.0	471.0	4.0	15.0	0.5046664023723242			0.533922425698256
NP_057332	261.0	1362.0	11.0	42.0	0.3462239462493444			0.38829305703662503
NP_057371	48.0	295.0	7.0	12.0	0.014788874560853852			0.037462038714087195
NP_057377	173.0	879.0	9.0	31.0	0.2863201355080564			0.3317677760648908
NP_057404	226.0	1265.0	14.0	45.0	0.09571912879769172			0.14286702681142463
NP_057415	32.0	176.0	4.0	10.0	0.2515564637826585			0.3014932650913968
NP_057417	1591.0	9316.0	246.0	394.0	6.002338418448132e-46			4.81987775001385e-43
NP_057421	132.0	725.0	7.0	16.0	0.07452675959729145			0.11776989526275534
NP_057507	61.0	325.0	6.0	12.0	0.09496925943779155			0.14280957926694124
NP_057541	136.0	705.0	9.0	29.0	0.2603346871115323			0.30742463786847124
NP_057562	157.0	809.0	14.0	37.0	0.05215784139268682			0.09064075366148731
NP_057572	81.0	500.0	18.0	26.0	2.832196390116769e-05			0.0005053897113919479
NP_057591	249.0	1331.0	14.0	45.0	0.105143392259159			0.15406960581041
NP_057671	42.0	221.0	7.0	18.0	0.15926250383296572			0.21208588818884158
NP_057688	124.0	658.0	6.0	12.0	0.09623772609024614			0.14337457152220345
NP_057712	82.0	475.0	10.0	15.0	0.0025457688796810952			0.011748577071171952
