	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_115941	311.0	406.0	31.0	4.0	7.80617697085983e-08			8.995689652133709e-07
NP_149131	643.0	829.0	30.0	28.0	0.22850527072145627			0.2937333945342392
NP_150241	645.0	867.0	37.0	18.0	0.00043499301881016935			0.0015256276891603042
NP_203744	447.0	612.0	30.0	3.0	1.4836131040751883e-08			2.2439648199137222e-07
NP_203754	2427.0	3236.0	146.0	89.0	8.051425910020051e-09			1.3329794937100814e-07
NP_277052	618.0	795.0	31.0	35.0	0.6139688547330775			0.6723097866307908
NP_443094	464.0	698.0	58.0	12.0	1.0839851772395927e-12			8.744147096399381e-11
NP_444254	491.0	658.0	43.0	30.0	0.007453707020036433			0.01785937721632492
NP_510880	681.0	902.0	56.0	20.0	1.7807400850175626e-07			1.9510863910680817e-06
NP_542417	1017.0	1375.0	23.0	22.0	0.28737045965694746			0.35123056180293577
NP_597734	1071.0	1407.0	71.0	83.0	0.5032184470767267			0.5690601130493825
NP_612392	317.0	437.0	24.0	17.0	0.05074576604630407			0.08887300135977357
NP_620305	711.0	927.0	28.0	36.0	1.0			1.0
NP_663304	209.0	292.0	14.0	3.0	0.0017567522311113417			0.005248568394184502
NP_663719	475.0	639.0	32.0	16.0	0.0015343945517082933			0.004641543518917587
NP_663780	474.0	645.0	72.0	20.0	2.533513840380134e-11			8.758719276742748e-10
NP_683692	719.0	985.0	20.0	24.0	0.7576216980115336			0.8076848058096525
NP_689449	453.0	606.0	31.0	15.0	0.0012493043673735477			0.003978048117163139
NP_689969	423.0	586.0	21.0	21.0	0.3397512438815892			0.40702871791754747
NP_722560	291.0	391.0	21.0	8.0	0.0019205003432234827			0.005599531121205817
NP_733793	430.0	626.0	40.0	5.0	6.614562739385632e-11			1.7785824254792478e-09
NP_733821	1229.0	1614.0	49.0	53.0	0.3607048010930889			0.42169353557742756
NP_775114	405.0	560.0	30.0	19.0	0.011204963220135521			0.025581142445969776
NP_835260	418.0	519.0	39.0	7.0	6.148201152889817e-08			7.830866731575451e-07
