	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_001231931	364.0	838.0	23.0	23.0	0.008469400077805153			0.04987535601374146
NP_001234918	162.0	379.0	12.0	17.0	0.21544073353549054			0.4222453877198157
NP_001240628	418.0	993.0	19.0	26.0	0.09683901376172738			0.2524164457067976
NP_001245303	457.0	1037.0	15.0	25.0	0.3858425662874838			0.5798964119855516
NP_001254489	383.0	938.0	40.0	13.0	1.0454876085166922e-11			8.311626487707703e-10
NP_001354	157.0	365.0	16.0	16.0	0.0287952457143703			0.1090105730615447
NP_001408	354.0	824.0	24.0	34.0	0.07935798406863409			0.21386304181208168
NP_001422	412.0	922.0	19.0	19.0	0.019740269773060135			0.08482980794369085
NP_001531	245.0	527.0	11.0	15.0	0.2868181877143799			0.48211022306890255
NP_001611	4371.0	9912.0	145.0	130.0	5.818748141946862e-14			9.25180954569551e-12
NP_001640	407.0	1016.0	34.0	52.0	0.037406527191972475			0.13379571104415172
NP_002130	391.0	926.0	23.0	39.0	0.2560740705786277			0.45748064294384044
NP_002264	576.0	1289.0	18.0	20.0	0.03437623959689785			0.12711214176527347
NP_002364	997.0	2272.0	36.0	41.0	0.0037669472097018137			0.027224754833754018
NP_002366	944.0	2012.0	47.0	99.0	0.9278524241448902			0.9396722002486467
NP_002826	392.0	845.0	28.0	48.0	0.3755716394547457			0.5797659288670346
NP_003015	278.0	683.0	17.0	18.0	0.021903908645952118			0.0893005506334971
NP_003091	120.0	277.0	12.0	6.0	0.002883171987339003			0.02412759715720534
NP_003248	686.0	1592.0	32.0	40.0	0.012995101660462586			0.07124900565563969
NP_003600	335.0	796.0	20.0	43.0	0.7771033431902498			0.8462974764880117
NP_003602	255.0	548.0	12.0	20.0	0.5623835582426304			0.7080306669429031
NP_003760	138.0	316.0	9.0	15.0	0.4981972088239679			0.6853092047739223
NP_003852	163.0	414.0	11.0	13.0	0.06928688268410499			0.19327393590829284
NP_003904	503.0	1124.0	30.0	59.0	0.559093223818663			0.7080306669429031
NP_004482	429.0	952.0	14.0	11.0	0.01467644148501157			0.07516101028006744
